       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.843390     0.832335       0.917857       0.970213          0.354309          0.270891               0.0               0.0           0.040973           0.027988
L2N64     0.846154     0.838938       0.941502       0.897743          0.538660          0.401849               0.0               0.0           0.039754           0.048882
L3N64     0.845847     0.832796       0.947950       0.947950          0.767750          0.236771               0.0               0.0           0.035466           0.027483
L4N64     0.839552     0.834638       0.942116       0.933211          0.826771          0.210898               0.0               0.0           0.037559           0.030614
L5N64     0.847382     0.829418       0.955781       0.948871          0.933267          0.212835               0.0               0.0           0.031299           0.030242
L1N32     0.846000     0.836634       0.930754       0.906188          0.255617          0.235912               0.0               0.0           0.033733           0.044657
L2N32     0.847843     0.832489       0.947183       0.935667          0.439776          0.248999               0.0               0.0           0.027288           0.027042
L3N32     0.847689     0.830800       0.948871       0.931214          0.468161          0.241426               0.0               0.0           0.032176           0.032921
L4N32     0.844311     0.826808       0.892830       0.945187          0.511938          0.176906               0.0               0.0           0.051199           0.025834
L5N32     0.846768     0.829265       0.934285       0.991709          0.617303          0.158332               0.0               0.0           0.039589           0.011041
L1N16     0.849839     0.831568       0.919853       0.942423          0.258527          0.228169               0.0               0.0           0.038204           0.032684
L2N16     0.847996     0.830032       0.920160       0.947336          0.417175          0.156307               0.0               0.0           0.039922           0.025632
L3N16     0.847843     0.827269       0.918931       0.968985          0.505194          0.150604               0.0               0.0           0.041461           0.016864
L4N16     0.847536     0.825426       0.955320       0.985567          0.453606          0.292597               0.0               0.0           0.027045           0.018347
L5N16     0.849992     0.759251       0.972670       1.000000          0.319304          0.053730               0.0               0.0           0.016827           0.007458
L1N8      0.847996     0.826961       0.908030       0.992170          0.260559          0.137135               0.0               0.0           0.042439           0.009894
L2N8      0.847536     0.829879       0.910794       0.951021          0.316289          0.194139               0.0               0.0           0.043339           0.028394
L3N8      0.849685     0.831568       0.917703       0.941809          0.313855          0.139020               0.0               0.0           0.038076           0.028374
L4N8      0.846307     0.828957       0.920006       0.950714          0.376165          0.105082               0.0               0.0           0.034824           0.023408
L5N8      0.847229     0.823277       0.906341       0.922309          0.392919          0.102216               0.0               0.0           0.047033           0.026821
L1N4      0.844004     0.824351       0.905727       0.996469          0.215938          0.178867               0.0               0.0           0.038493           0.010553
L2N4      0.849839     0.795025       0.914939       0.930447          0.263044          0.272092               0.0               0.0           0.040356           0.025159
L3N4      0.848457     0.832796       0.908798       0.903270          0.224145          0.179927               0.0               0.0           0.044178           0.040297
L4N4      0.848764     0.759251       0.910026       1.000000          0.321736          0.000000               0.0               0.0           0.036625           0.000000
L5N4      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
L1N2      0.840166     0.821434       0.915093       0.962690          0.172215          0.145887               0.0               0.0           0.038540           0.017405
L2N2      0.847536     0.759251       0.928297       1.000000          0.211864          0.278462               0.0               0.0           0.030187           0.015794
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.148558               0.0               0.0           0.000000           0.020796
L4N2      0.843851     0.759251       0.902656       1.000000          0.291859          0.000000               0.0               0.0           0.037716           0.000000
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
