       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.840319     0.827269       0.935514       0.960387          0.377215          0.233631               0.0               0.0           0.036958           0.025684
L2N64     0.840934     0.829418       0.970520       0.903577          0.596779          0.247019               0.0               0.0           0.031517           0.042281
L3N64     0.842930     0.832796       0.949025       0.961308          0.606591          0.241529               0.0               0.0           0.027964           0.022455
L4N64     0.844618     0.825580       0.976048       0.944265          0.858983          0.300919               0.0               0.0           0.027383           0.034732
L5N64     0.830032     0.831875       0.964072       0.909412          0.893225          0.240225               0.0               0.0           0.028022           0.041533
L1N32     0.843851     0.829111       0.928911       0.967603          0.265501          0.226259               0.0               0.0           0.032164           0.020465
L2N32     0.844772     0.829725       0.961769       0.917242          0.457535          0.228165               0.0               0.0           0.027250           0.042226
L3N32     0.844618     0.822969       0.960387       0.984646          0.601349          0.213631               0.0               0.0           0.030512           0.020673
L4N32     0.844004     0.831414       0.963918       0.945647          0.600506          0.277255               0.0               0.0           0.022133           0.029422
L5N32     0.840012     0.824812       0.893290       0.983111          0.873646          0.240816               0.0               0.0           0.060036           0.013906
L1N16     0.844158     0.822355       0.921542       0.956241          0.272950          0.172598               0.0               0.0           0.035847           0.026798
L2N16     0.844618     0.826347       0.918624       0.990481          0.432682          0.180381               0.0               0.0           0.038883           0.018734
L3N16     0.843851     0.829418       0.952249       0.941809          0.390891          0.214997               0.0               0.0           0.027536           0.028495
L4N16     0.842622     0.822509       0.911254       0.967450          0.370099          0.105438               0.0               0.0           0.039822           0.015244
L5N16     0.842469     0.820666       0.912636       0.967296          0.394908          0.081557               0.0               0.0           0.042051           0.010225
L1N8      0.844004     0.822662       0.913711       0.971595          0.244364          0.172376               0.0               0.0           0.038947           0.013272
L2N8      0.842162     0.823584       0.912943       0.964379          0.283888          0.159966               0.0               0.0           0.041906           0.023611
L3N8      0.841548     0.820206       0.900660       0.968064          0.416095          0.208525               0.0               0.0           0.041798           0.020101
L4N8      0.844465     0.759251       0.923230       1.000000          0.279675          0.015264               0.0               0.0           0.034497           0.003106
L5N8      0.842622     0.759251       0.912176       1.000000          0.412418          0.089723               0.0               0.0           0.037178           0.007006
L1N4      0.836481     0.824044       0.923384       0.965454          0.149929          0.138815               0.0               0.0           0.031827           0.016814
L2N4      0.838784     0.824044       0.913250       0.982343          0.208619          0.233801               0.0               0.0           0.037932           0.015154
L3N4      0.845386     0.824198       0.911254       0.932750          0.316176          0.118705               0.0               0.0           0.044743           0.023523
L4N4      0.841548     0.759251       0.897743       1.000000          0.255661          0.004550               0.0               0.0           0.049545           0.001470
L5N4      0.844004     0.759251       0.923538       1.000000          0.260737          0.000000               0.0               0.0           0.034237           0.000000
L1N2      0.836634     0.759251       0.923538       1.000000          0.160883          0.220007               0.0               0.0           0.035117           0.016209
L2N2      0.836788     0.759251       0.899125       1.000000          0.207968          0.203584               0.0               0.0           0.048446           0.013308
L3N2      0.836788     0.822816       0.902963       0.952096          0.382967          0.163511               0.0               0.0           0.037420           0.017275
L4N2      0.840012     0.759251       0.938891       1.000000          0.155803          0.134882               0.0               0.0           0.023262           0.005284
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
