       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849685     0.839245       0.950560       0.959312          0.238921          0.249508               0.0               0.0           0.022771           0.024676
L2N64     0.846461     0.838170       0.965147       0.960694          0.656616          0.173126               0.0               0.0           0.032874           0.021926
L3N64     0.844158     0.835406       0.969446       0.951635          0.721403          0.205133               0.0               0.0           0.033346           0.028000
L4N64     0.846154     0.831261       0.972209       0.986181          0.816526          0.262601               0.0               0.0           0.032064           0.015402
L5N64     0.850607     0.836327       0.971749       0.922923          0.770669          0.238220               0.0               0.0           0.026490           0.040398
L1N32     0.851221     0.836174       0.949639       0.944265          0.256546          0.224474               0.0               0.0           0.024614           0.026687
L2N32     0.850146     0.834945       0.929679       0.966682          0.370935          0.158605               0.0               0.0           0.035766           0.019978
L3N32     0.847843     0.837402       0.971442       0.986028          0.517413          0.272458               0.0               0.0           0.025498           0.014666
L4N32     0.851528     0.832949       0.948718       0.941962          0.520912          0.240687               0.0               0.0           0.032730           0.030004
L5N32     0.848610     0.831414       0.978505       0.976509          0.614116          0.174846               0.0               0.0           0.021695           0.015789
L1N16     0.849225     0.832489       0.927837       0.945340          0.220326          0.127779               0.0               0.0           0.032844           0.024745
L2N16     0.848610     0.833564       0.958698       0.955474          0.282415          0.122241               0.0               0.0           0.021594           0.024981
L3N16     0.853063     0.825119       0.947029       0.976048          0.331693          0.126577               0.0               0.0           0.026514           0.018755
L4N16     0.846614     0.829265       0.961155       0.970674          0.394000          0.198884               0.0               0.0           0.024796           0.017598
L5N16     0.846614     0.825119       0.953324       0.914018          0.341117          0.195107               0.0               0.0           0.023579           0.034269
L1N8      0.848610     0.814218       0.908644       0.992784          0.197719          0.179734               0.0               0.0           0.040912           0.006978
L2N8      0.847536     0.826961       0.958544       0.982343          0.295995          0.171191               0.0               0.0           0.021642           0.010934
L3N8      0.846307     0.822355       0.927683       0.982189          0.266740          0.239902               0.0               0.0           0.035016           0.021499
L4N8      0.848457     0.826501       0.932443       0.958544          0.292731          0.147199               0.0               0.0           0.033908           0.023222
L5N8      0.847536     0.798864       0.917242       0.950407          0.251977          0.205543               0.0               0.0           0.039165           0.016218
L1N4      0.839705     0.824198       0.936588       0.980501          0.155723          0.154780               0.0               0.0           0.023788           0.010580
L2N4      0.847382     0.817749       0.925994       0.980347          0.177085          0.144582               0.0               0.0           0.035084           0.013120
L3N4      0.848150     0.815139       0.927837       0.948411          0.209037          0.103716               0.0               0.0           0.033774           0.013848
L4N4      0.846461     0.759251       0.933978       1.000000          0.281259          0.046168               0.0               0.0           0.027489           0.004326
L5N4      0.847382     0.759251       0.900814       1.000000          0.312781          0.061807               0.0               0.0           0.040398           0.005119
L1N2      0.838938     0.759251       0.945187       1.000000          0.121734          0.000000               0.0               0.0           0.024812           0.000000
L2N2      0.838323     0.819131       0.925380       0.974205          0.157417          0.155769               0.0               0.0           0.027983           0.013235
L3N2      0.846154     0.759251       0.916168       1.000000          0.385496          0.000000               0.0               0.0           0.038085           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.003664               0.0               0.0           0.000000           0.000393
