       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.850146     0.838630       0.927376       0.903117          0.381948          0.287397               0.0               0.0           0.039694           0.047166
L2N64     0.853063     0.844465       0.965300       0.932136          0.635950          0.222800               0.0               0.0           0.028238           0.032262
L3N64     0.850760     0.842930       0.968217       0.922616          0.679743          0.199626               0.0               0.0           0.031941           0.036497
L4N64     0.848303     0.840780       0.961922       0.967603          0.783060          0.298444               0.0               0.0           0.030482           0.026594
L5N64     0.843237     0.834331       0.961769       0.984032          0.938802          0.191357               0.0               0.0           0.030398           0.016812
L1N32     0.851681     0.839859       0.941809       0.913097          0.297166          0.202452               0.0               0.0           0.031346           0.040985
L2N32     0.853063     0.836174       0.938584       0.955167          0.439695          0.197028               0.0               0.0           0.033021           0.024502
L3N32     0.849071     0.835713       0.958852       0.982650          0.563529          0.252925               0.0               0.0           0.033099           0.018815
L4N32     0.851681     0.833717       0.930754       0.943958          0.555326          0.186585               0.0               0.0           0.043559           0.026929
L5N32     0.849839     0.828650       0.904345       0.994319          0.778148          0.138081               0.0               0.0           0.057133           0.007873
L1N16     0.855366     0.838323       0.906034       0.932136          0.262205          0.178853               0.0               0.0           0.043081           0.031704
L2N16     0.853984     0.835406       0.937203       0.931061          0.379616          0.170409               0.0               0.0           0.033285           0.031832
L3N16     0.849225     0.835867       0.928144       0.935053          0.383817          0.161891               0.0               0.0           0.034710           0.027339
L4N16     0.854445     0.832949       0.948871       0.980193          0.454049          0.236062               0.0               0.0           0.026220           0.015221
L5N16     0.850299     0.828497       0.936588       0.993551          0.562952          0.234093               0.0               0.0           0.030610           0.015450
L1N8      0.852910     0.835406       0.903885       0.971288          0.255122          0.192029               0.0               0.0           0.044254           0.024454
L2N8      0.851221     0.832489       0.961155       0.956856          0.267186          0.097511               0.0               0.0           0.024773           0.017340
L3N8      0.854599     0.829879       0.970981       0.960694          0.353507          0.123417               0.0               0.0           0.022093           0.023136
L4N8      0.852910     0.830800       0.971288       0.946568          0.300923          0.182921               0.0               0.0           0.021945           0.020881
L5N8      0.852910     0.759251       0.938738       1.000000          0.333259          0.000000               0.0               0.0           0.033598           0.000000
L1N4      0.848918     0.832182       0.919546       0.975434          0.210407          0.206499               0.0               0.0           0.036253           0.018142
L2N4      0.854445     0.832642       0.897129       0.940273          0.234275          0.136027               0.0               0.0           0.048545           0.026628
L3N4      0.853831     0.759251       0.931829       1.000000          0.320346          0.000000               0.0               0.0           0.033700           0.000000
L4N4      0.853524     0.759251       0.905113       1.000000          0.207795          0.167448               0.0               0.0           0.040288           0.013869
L5N4      0.851835     0.759251       0.906648       1.000000          0.227647          0.000000               0.0               0.0           0.044101           0.000000
L1N2      0.849685     0.831568       0.910640       0.945340          0.181896          0.119648               0.0               0.0           0.037869           0.017777
L2N2      0.846000     0.824044       0.894058       0.965914          0.218860          0.159241               0.0               0.0           0.049078           0.012412
L3N2      0.852910     0.759251       0.907416       1.000000          0.327426          0.242647               0.0               0.0           0.038386           0.018783
L4N2      0.848457     0.759251       0.905573       1.000000          0.211441          0.162829               0.0               0.0           0.037136           0.016971
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
