       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.848150     0.837249       0.921542       0.915707          0.317903          0.257114               0.0               0.0           0.041093           0.036244
L2N64     0.847229     0.836174       0.942730       0.940120          0.506195          0.226349               0.0               0.0           0.037074           0.027097
L3N64     0.850146     0.834178       0.969139       0.923998          0.755573          0.216518               0.0               0.0           0.029912           0.035193
L4N64     0.848764     0.839552       0.954092       0.908491          0.817014          0.269624               0.0               0.0           0.037186           0.046460
L5N64     0.841548     0.833564       0.961615       0.929218          0.740608          0.266388               0.0               0.0           0.031544           0.035421
L1N32     0.845847     0.830186       0.936435       0.910947          0.308535          0.209926               0.0               0.0           0.030480           0.044760
L2N32     0.849225     0.827729       0.953324       0.904959          0.402685          0.236397               0.0               0.0           0.024631           0.047096
L3N32     0.850914     0.836481       0.940273       0.905881          0.417893          0.232790               0.0               0.0           0.033535           0.041926
L4N32     0.848457     0.835253       0.929679       0.922002          0.480795          0.175427               0.0               0.0           0.031284           0.039599
L5N32     0.847075     0.833717       0.955320       0.898357          0.598158          0.279554               0.0               0.0           0.030450           0.046352
L1N16     0.850760     0.833564       0.921234       0.926455          0.244155          0.175861               0.0               0.0           0.037434           0.035822
L2N16     0.848150     0.833410       0.923538       0.949946          0.414303          0.188898               0.0               0.0           0.038109           0.023823
L3N16     0.843083     0.828804       0.895593       0.992016          0.411865          0.205614               0.0               0.0           0.056673           0.018239
L4N16     0.855520     0.830953       0.964840       0.938431          0.401037          0.309990               0.0               0.0           0.029852           0.034069
L5N16     0.846154     0.759251       0.904345       1.000000          0.536444          0.000273               0.0               0.0           0.045531           0.000018
L1N8      0.847689     0.826040       0.900967       0.978505          0.219225          0.164974               0.0               0.0           0.044511           0.018770
L2N8      0.847689     0.824044       0.939045       0.978505          0.278438          0.122650               0.0               0.0           0.031962           0.017618
L3N8      0.849839     0.759251       0.924459       1.000000          0.504383          0.002612               0.0               0.0           0.038259           0.000002
L4N8      0.852142     0.824812       0.910794       0.975280          0.296252          0.069566               0.0               0.0           0.043058           0.012937
L5N8      0.849378     0.759251       0.954706       1.000000          0.358570          0.001303               0.0               0.0           0.020993           0.000068
L1N4      0.841548     0.826654       0.933364       0.992784          0.136054          0.164104               0.0               0.0           0.026055           0.012120
L2N4      0.850607     0.829725       0.901428       0.934132          0.222089          0.153589               0.0               0.0           0.044808           0.028685
L3N4      0.850607     0.827269       0.903577       0.954399          0.281328          0.111653               0.0               0.0           0.039898           0.023093
L4N4      0.840780     0.759251       0.904806       1.000000          0.207389          0.229878               0.0               0.0           0.034806           0.025848
L5N4      0.849071     0.759251       0.911715       1.000000          0.294847          0.000000               0.0               0.0           0.036061           0.000000
L1N2      0.839859     0.759251       0.921234       1.000000          0.157849          0.209715               0.0               0.0           0.029624           0.017210
L2N2      0.844618     0.759251       0.893137       1.000000          0.210385          0.000000               0.0               0.0           0.040169           0.000000
L3N2      0.848303     0.759251       0.886995       1.000000          0.261764          0.000000               0.0               0.0           0.054289           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.011067          0.000000               0.0               0.0           0.000002           0.000000
L5N2      0.759251     0.809304       1.000000       0.987103          0.000000          0.177351               0.0               0.0           0.000000           0.008139
