       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.852602     0.836174       0.927069       0.975741          0.279710          0.226226               0.0               0.0           0.034579           0.017180
L2N64     0.850146     0.834178       0.962383       0.953017          0.442110          0.279402               0.0               0.0           0.021712           0.027404
L3N64     0.848150     0.837249       0.971749       0.959005          0.543742          0.205819               0.0               0.0           0.022172           0.024910
L4N64     0.840626     0.827115       0.954092       0.986949          0.945557          0.160617               0.0               0.0           0.035766           0.013771
L5N64     0.843544     0.832796       0.951635       0.985874          0.918426          0.164469               0.0               0.0           0.028914           0.017508
L1N32     0.848303     0.829572       0.922309       0.955320          0.257553          0.199220               0.0               0.0           0.037658           0.023912
L2N32     0.848918     0.835099       0.978658       0.942269          0.425253          0.206096               0.0               0.0           0.019727           0.027106
L3N32     0.846307     0.830493       0.973745       0.925380          0.476130          0.224004               0.0               0.0           0.022342           0.036436
L4N32     0.847536     0.827115       0.937510       0.930140          0.788241          0.232758               0.0               0.0           0.039765           0.039188
L5N32     0.848457     0.833410       0.974052       0.918317          0.743754          0.211277               0.0               0.0           0.023689           0.036782
L1N16     0.849378     0.824965       0.915093       0.966989          0.292375          0.157307               0.0               0.0           0.040339           0.015504
L2N16     0.852756     0.824812       0.941041       0.983725          0.294053          0.123095               0.0               0.0           0.028969           0.012936
L3N16     0.851067     0.830953       0.929218       0.928758          0.361154          0.182524               0.0               0.0           0.032599           0.035113
L4N16     0.848764     0.808383       0.954552       0.993858          0.530615          0.146134               0.0               0.0           0.030071           0.008871
L5N16     0.851221     0.822202       0.952710       0.993551          0.534956          0.115787               0.0               0.0           0.029244           0.008358
L1N8      0.848764     0.829111       0.922616       0.959619          0.230666          0.183809               0.0               0.0           0.034993           0.022632
L2N8      0.850146     0.830032       0.928297       0.985721          0.282338          0.157470               0.0               0.0           0.034004           0.013153
L3N8      0.850146     0.821895       0.918010       0.963765          0.389327          0.295105               0.0               0.0           0.037484           0.019242
L4N8      0.849225     0.828190       0.930140       0.957316          0.264760          0.201960               0.0               0.0           0.031447           0.026556
L5N8      0.853677     0.759251       0.939659       1.000000          0.466967          0.000000               0.0               0.0           0.032604           0.000000
L1N4      0.840473     0.826347       0.929218       0.979119          0.176007          0.374677               0.0               0.0           0.027060           0.021890
L2N4      0.844158     0.826654       0.912636       0.994933          0.183169          0.177181               0.0               0.0           0.038937           0.009785
L3N4      0.850607     0.822355       0.898050       0.970828          0.268840          0.396351               0.0               0.0           0.047826           0.028358
L4N4      0.847536     0.759251       0.918010       1.000000          0.327689          0.003256               0.0               0.0           0.033596           0.000004
L5N4      0.847382     0.829572       0.934592       0.955013          0.276374          0.134088               0.0               0.0           0.033256           0.023166
L1N2      0.838630     0.759251       0.943344       1.000000          0.122548          0.305813               0.0               0.0           0.021632           0.018744
L2N2      0.838630     0.759251       0.930907       1.000000          0.223044          0.162638               0.0               0.0           0.026614           0.011221
L3N2      0.841548     0.759251       0.921849       1.000000          0.168997          0.000000               0.0               0.0           0.032680           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000           0.000000
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.292665               0.0               0.0           0.000000           0.017321
