       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.852756     0.835406       0.931675       0.945187          0.250085          0.245628               0.0               0.0           0.031943       2.681337e-02
L2N64     0.848918     0.834331       0.964686       0.941502          0.619519          0.301777               0.0               0.0           0.031735       2.950465e-02
L3N64     0.850607     0.836174       0.949332       0.932750          0.682773          0.261253               0.0               0.0           0.033630       3.340266e-02
L4N64     0.849071     0.834178       0.960387       0.942423          0.891347          0.209506               0.0               0.0           0.034855       3.284214e-02
L5N64     0.845233     0.838170       0.950867       0.945187          0.856757          0.192662               0.0               0.0           0.032275       2.755931e-02
L1N32     0.848610     0.836942       0.957009       0.946568          0.257533          0.197817               0.0               0.0           0.022712       2.701059e-02
L2N32     0.850146     0.836481       0.913097       0.913865          0.441267          0.211625               0.0               0.0           0.042497       3.897086e-02
L3N32     0.850299     0.834638       0.934746       0.915861          0.510765          0.230415               0.0               0.0           0.037714       4.322600e-02
L4N32     0.852910     0.834945       0.974052       0.972824          0.427341          0.154800               0.0               0.0           0.024196       1.879568e-02
L5N32     0.852142     0.832949       0.948257       0.961922          0.632261          0.125094               0.0               0.0           0.029921       1.925429e-02
L1N16     0.850607     0.834945       0.909719       0.989252          0.298131          0.140257               0.0               0.0           0.039952       9.704169e-03
L2N16     0.848303     0.832028       0.930754       0.953324          0.380789          0.138449               0.0               0.0           0.042284       2.574684e-02
L3N16     0.850453     0.833871       0.912176       0.946568          0.485410          0.258845               0.0               0.0           0.045337       2.839844e-02
L4N16     0.849378     0.827576       0.968678       0.978965          0.324406          0.073007               0.0               0.0           0.021567       1.034352e-02
L5N16     0.849225     0.829418       0.961615       0.983571          0.417672          0.122968               0.0               0.0           0.025332       9.324221e-03
L1N8      0.847229     0.759251       0.905266       1.000000          0.243718          0.326847               0.0               0.0           0.039805       3.025001e-02
L2N8      0.852295     0.759251       0.917242       1.000000          0.322023          0.077380               0.0               0.0           0.036168       9.276963e-03
L3N8      0.850760     0.759251       0.961922       1.000000          0.358546          0.000830               0.0               0.0           0.020544       6.415027e-07
L4N8      0.849532     0.826347       0.946415       0.980808          0.274486          0.146257               0.0               0.0           0.024808       1.111293e-02
L5N8      0.849225     0.814371       0.943498       0.957009          0.218738          0.160125               0.0               0.0           0.027289       1.809208e-02
L1N4      0.842008     0.829418       0.914325       0.952864          0.263783          0.109680               0.0               0.0           0.039300       2.468237e-02
L2N4      0.844772     0.827422       0.923845       0.977276          0.178574          0.152201               0.0               0.0           0.032534       1.573889e-02
L3N4      0.849532     0.824965       0.945954       0.964532          0.223356          0.087522               0.0               0.0           0.026226       1.389715e-02
L4N4      0.843390     0.759251       0.919546       1.000000          0.297338          0.160001               0.0               0.0           0.035790       1.117922e-02
L5N4      0.844158     0.759251       0.924766       1.000000          0.231853          0.000000               0.0               0.0           0.029051       0.000000e+00
L1N2      0.839552     0.759251       0.931982       1.000000          0.136277          0.000000               0.0               0.0           0.026779       0.000000e+00
L2N2      0.843697     0.759251       0.914172       1.000000          0.218593          0.224703               0.0               0.0           0.036285       1.638334e-02
L3N2      0.840780     0.822048       0.911715       0.974513          0.215157          0.127319               0.0               0.0           0.031472       7.740059e-03
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000       0.000000e+00
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000               0.0               0.0           0.000000       0.000000e+00
