       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.856134     0.837863       0.927837       0.959159          0.267036          0.204189               0.0               0.0           0.036163       2.007239e-02
L2N64     0.848303     0.835560       0.956702       0.945187          0.472782          0.281426               0.0               0.0           0.030796       2.998389e-02
L3N64     0.852602     0.837402       0.968371       0.953631          0.719205          0.308960               0.0               0.0           0.028236       2.607029e-02
L4N64     0.840934     0.834945       0.951482       0.960233          0.938841          0.164769               0.0               0.0           0.036880       1.928390e-02
L5N64     0.852602     0.840473       0.961922       0.925994          0.958462          0.241581               0.0               0.0           0.026441       3.666741e-02
L1N32     0.854445     0.839859       0.935360       0.957777          0.232798          0.230693               0.0               0.0           0.028137       2.532569e-02
L2N32     0.855520     0.837556       0.974973       0.937356          0.392507          0.280014               0.0               0.0           0.022888       2.988486e-02
L3N32     0.857209     0.838016       0.923384       0.933057          0.511356          0.242690               0.0               0.0           0.037383       3.346346e-02
L4N32     0.856134     0.838170       0.913711       0.946875          0.593922          0.138084               0.0               0.0           0.041221       2.611764e-02
L5N32     0.855059     0.835253       0.932136       0.963918          0.699917          0.175404               0.0               0.0           0.034038       2.387478e-02
L1N16     0.851221     0.829418       0.911561       0.940273          0.228269          0.117821               0.0               0.0           0.040724       2.735227e-02
L2N16     0.853370     0.836788       0.955320       0.941195          0.318501          0.128822               0.0               0.0           0.023333       2.769942e-02
L3N16     0.855520     0.832949       0.934439       0.944112          0.359766          0.250658               0.0               0.0           0.033596       3.139548e-02
L4N16     0.857976     0.827576       0.972824       0.943805          0.428692          0.176262               0.0               0.0           0.021470       3.169932e-02
L5N16     0.855366     0.831107       0.948871       0.924459          0.422243          0.236754               0.0               0.0           0.032298       3.206712e-02
L1N8      0.850146     0.834331       0.915554       0.945494          0.196897          0.121199               0.0               0.0           0.039483       2.403437e-02
L2N8      0.854752     0.836481       0.918010       0.970674          0.238079          0.209398               0.0               0.0           0.037131       2.679007e-02
L3N8      0.853524     0.830032       0.975127       0.949639          0.301118          0.161941               0.0               0.0           0.016267       2.430277e-02
L4N8      0.855059     0.828036       0.942883       0.984953          0.252433          0.138977               0.0               0.0           0.027689       1.133558e-02
L5N8      0.853677     0.824044       0.952710       0.963611          0.340663          0.126231               0.0               0.0           0.020305       1.531594e-02
L1N4      0.848303     0.831875       0.935360       0.968832          0.141499          0.135819               0.0               0.0           0.027757       1.861364e-02
L2N4      0.849992     0.759251       0.927222       1.000000          0.326760          0.185696               0.0               0.0           0.034229       1.558698e-02
L3N4      0.847689     0.817288       0.902963       0.922002          0.197918          0.127719               0.0               0.0           0.046020       3.033185e-02
L4N4      0.853524     0.747889       0.928604       0.925073          0.263130          0.367287               0.0               0.0           0.029903       2.060595e-02
L5N4      0.850453     0.759251       0.932596       1.000000          0.207347          0.000161               0.0               0.0           0.029167       2.477350e-08
L1N2      0.846461     0.759251       0.948871       1.000000          0.110555          0.232849               0.0               0.0           0.021743       1.393034e-02
L2N2      0.843697     0.840473       0.952864       0.927376          0.105057          0.262149               0.0               0.0           0.017869       3.688413e-02
L3N2      0.759251     0.829879       1.000000       0.954860          0.000000          0.190627               0.0               0.0           0.000000       2.222818e-02
L4N2      0.848150     0.759251       0.901581       1.000000          0.198591          0.000007               0.0               0.0           0.037058       4.111192e-07
L5N2      0.759251     0.813911       1.000000       0.974052          0.000000          0.103449               0.0               0.0           0.000000       1.183634e-02
