       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849071     0.839245       0.955781       0.945340          0.278078          0.268509               0.0               0.0           0.021784           0.029680
L2N64     0.853063     0.839859       0.944419       0.955781          0.451384          0.213574               0.0               0.0           0.031506           0.022784
L3N64     0.849839     0.839245       0.953017       0.942883          0.659185          0.263061               0.0               0.0           0.033867           0.029084
L4N64     0.843237     0.837863       0.959619       0.934899          0.692810          0.298983               0.0               0.0           0.027609           0.034052
L5N64     0.849225     0.837249       0.956241       0.986028          0.919476          0.163549               0.0               0.0           0.031193           0.015162
L1N32     0.855980     0.838630       0.938124       0.922616          0.308205          0.190838               0.0               0.0           0.029643           0.033735
L2N32     0.851528     0.838016       0.970520       0.936128          0.466495          0.254587               0.0               0.0           0.025175           0.032025
L3N32     0.849685     0.839859       0.945647       0.949639          0.534744          0.239386               0.0               0.0           0.031886           0.026076
L4N32     0.852602     0.838323       0.957009       0.939506          0.523984          0.187289               0.0               0.0           0.028164           0.029867
L5N32     0.851681     0.828497       0.964379       0.988945          0.606500          0.085913               0.0               0.0           0.033443           0.013050
L1N16     0.851835     0.833103       0.927530       0.954706          0.259672          0.165707               0.0               0.0           0.033561           0.021189
L2N16     0.853063     0.834638       0.925994       0.953631          0.384053          0.189276               0.0               0.0           0.029938           0.021572
L3N16     0.854138     0.819745       0.952710       0.978812          0.350546          0.156198               0.0               0.0           0.025002           0.016316
L4N16     0.851067     0.829879       0.951789       0.937203          0.468367          0.168365               0.0               0.0           0.027153           0.030870
L5N16     0.850607     0.818210       0.970213       0.917857          0.459942          0.204668               0.0               0.0           0.019959           0.029491
L1N8      0.850607     0.830646       0.909258       0.986489          0.196184          0.145081               0.0               0.0           0.041118           0.013544
L2N8      0.853831     0.826961       0.904345       0.982036          0.247055          0.248841               0.0               0.0           0.044085           0.018102
L3N8      0.855213     0.829879       0.942116       0.983111          0.324924          0.191142               0.0               0.0           0.032121           0.013354
L4N8      0.851988     0.759251       0.969446       1.000000          0.420890          0.286148               0.0               0.0           0.024964           0.014128
L5N8      0.850760     0.759251       0.967450       1.000000          0.392335          0.000000               0.0               0.0           0.024222           0.000000
L1N4      0.845233     0.833410       0.929986       0.976662          0.182138          0.177508               0.0               0.0           0.027608           0.014150
L2N4      0.847843     0.824505       0.898204       0.971749          0.211452          0.082207               0.0               0.0           0.052578           0.014450
L3N4      0.855980     0.830339       0.947490       0.967910          0.341016          0.123816               0.0               0.0           0.029535           0.019307
L4N4      0.848150     0.759251       0.945954       1.000000          0.291318          0.000000               0.0               0.0           0.024371           0.000000
L5N4      0.847536     0.703209       0.900814       0.975587          0.355548          0.430356               0.0               0.0           0.043078           0.021384
L1N2      0.845079     0.722862       0.922002       0.972824          0.164461          0.352507               0.0               0.0           0.033906           0.017559
L2N2      0.846461     0.759251       0.922923       1.000000          0.182510          0.198345               0.0               0.0           0.030887           0.011410
L3N2      0.848150     0.826040       0.922923       0.976969          0.192098          0.201720               0.0               0.0           0.030895           0.018916
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.250802               0.0               0.0           0.000000           0.013366
L5N2      0.851221     0.758483       0.919699       0.980040          0.193304          0.201098               0.0               0.0           0.032302           0.011424
