       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.859205     0.839245       0.003685       0.097344          0.999252          0.969425      1.367995e-02          0.038816           0.846048       6.686667e-01
L2N64     0.854906     0.841241       0.003992       0.118072          0.999543          0.909022      4.121340e-04          0.037832           0.854180       6.550289e-01
L3N64     0.851681     0.842315       0.003992       0.145402          0.999990          0.936913      5.033260e-06          0.028264           0.866279       6.301777e-01
L4N64     0.855827     0.840934       0.005067       0.112084          1.000000          0.914192      2.317426e-08          0.030890           0.861781       6.598046e-01
L5N64     0.853831     0.835099       0.004453       0.225088          1.000000          0.860407      1.365121e-07          0.039195           0.859150       5.153857e-01
L1N32     0.855520     0.840166       0.003838       0.087671          0.998221          0.909856      3.678232e-02          0.076998           0.850247       6.583701e-01
L2N32     0.853063     0.841855       0.003992       0.072931          0.997506          0.938407      2.244354e-03          0.058079           0.841547       6.884815e-01
L3N32     0.854445     0.838170       0.004146       0.150622          0.999691          0.917471      1.799392e-04          0.036444           0.843379       6.215512e-01
L4N32     0.851221     0.832949       0.004606       0.350530          0.998047          0.859145      3.211639e-03          0.047114           0.851837       4.875814e-01
L5N32     0.856287     0.834485       0.005681       0.247812          0.999741          0.847363      1.974084e-03          0.045924           0.853890       5.171071e-01
L1N16     0.852602     0.831721       0.002457       0.503762          0.992925          0.829850      2.960870e-01          0.000000           0.827430       3.656346e-01
L2N16     0.854599     0.832796       0.003838       0.310149          0.997350          0.767597      3.378162e-02          0.049508           0.845666       4.807014e-01
L3N16     0.857669     0.832028       0.003992       0.251036          0.989490          0.899287      2.118335e-02          0.033650           0.837473       5.477139e-01
L4N16     0.857669     0.836481       0.005374       0.360203          0.997982          0.786807      2.806098e-03          0.000000           0.855591       4.354019e-01
L5N16     0.858744     0.830953       0.006756       0.372639          0.994300          0.799397      2.927398e-02          0.023218           0.839423       4.477059e-01
L1N8      0.855059     0.830800       0.000921       0.322125          0.995299          0.867812      3.079373e-01          0.020852           0.826675       4.938780e-01
L2N8      0.847843     0.826347       0.004606       0.401812          0.987796          0.766931      1.902474e-01          0.000000           0.819100       3.942506e-01
L3N8      0.858283     0.829725       0.005374       0.446338          0.986368          0.688771      3.641806e-02          0.000000           0.824628       3.615478e-01
L4N8      0.852602     0.759251       0.003992       1.000000          0.998299          0.005611      3.780577e-03          0.000000           0.846242       4.080268e-05
L5N8      0.856134     0.828650       0.032704       0.601413          0.900685          0.677432      0.000000e+00          0.000000           0.747861       2.833804e-01
L1N4      0.848150     0.823123       0.054506       0.519269          0.998487          0.558117      3.426468e-02          0.000000           0.751668       2.726092e-01
L2N4      0.849992     0.759251       0.071856       1.000000          0.783592          0.000000      0.000000e+00          0.000000           0.609296       0.000000e+00
L3N4      0.853677     0.824812       0.013051       0.553355          0.986439          0.561744      9.305656e-03          0.000000           0.819832       2.581758e-01
L4N4      0.851681     0.832335       0.052664       0.244741          0.781604          0.709581      0.000000e+00          0.000000           0.628158       4.535872e-01
L5N4      0.846922     0.759251       0.006449       1.000000          0.936987          0.000000      6.669038e-02          0.000000           0.730920       0.000000e+00
L1N2      0.843544     0.820513       0.367112       0.372179          0.941369          0.693797      0.000000e+00          0.000000           0.442973       3.865831e-01
L2N2      0.849378     0.759251       0.032090       1.000000          0.988191          0.145139      7.923782e-03          0.000000           0.781979       2.611096e-04
L3N2      0.847689     0.759251       0.087671       1.000000          0.760856          0.003810      0.000000e+00          0.000000           0.575431       6.362103e-06
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000410      0.000000e+00          0.000000           0.000000       8.392971e-08
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000       0.000000e+00
