       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.851528     0.841701       0.005374       0.070628          0.998319          0.923303          0.025135          0.110165           0.858693           0.645622
L2N64     0.850299     0.840780       0.005067       0.066329          0.999691          0.922418          0.000161          0.092653           0.861345           0.681663
L3N64     0.851221     0.837095       0.005374       0.116690          0.999949          0.886629          0.000046          0.061638           0.865237           0.634362
L4N64     0.850607     0.841855       0.005067       0.167051          0.999999          0.902921          0.000006          0.044615           0.857493           0.626300
L5N64     0.847536     0.839859       0.005681       0.116383          1.000000          0.932236          0.000003          0.033982           0.867537           0.636255
L1N32     0.854906     0.833410       0.005067       0.301397          0.996272          0.879761          0.041377          0.044271           0.842903           0.510327
L2N32     0.852295     0.837556       0.004606       0.206664          0.997779          0.875931          0.037294          0.033651           0.848571           0.579196
L3N32     0.851528     0.841394       0.005834       0.228466          0.997912          0.872359          0.004277          0.040928           0.845171           0.524634
L4N32     0.853984     0.831568       0.006142       0.310149          0.999951          0.879844          0.001546          0.091868           0.852640           0.517869
L5N32     0.849532     0.824351       0.006449       0.282665          0.999102          0.743899          0.001449          0.001696           0.844719           0.461983
L1N16     0.853677     0.835713       0.003685       0.279441          0.987903          0.883629          0.154086          0.057242           0.839932           0.503158
L2N16     0.850914     0.837249       0.005834       0.230462          0.992675          0.862240          0.025311          0.033371           0.845461           0.524651
L3N16     0.854445     0.838477       0.006295       0.169354          0.992786          0.921605          0.011534          0.038101           0.830889           0.641896
L4N16     0.852756     0.759251       0.006756       1.000000          0.995720          0.404450          0.010936          0.000000           0.843125           0.179855
L5N16     0.850299     0.832489       0.007830       0.191003          0.993300          0.844072          0.052640          0.004926           0.818638           0.567908
L1N8      0.850299     0.840166       0.001075       0.119607          0.995803          0.920197          0.162893          0.068443           0.802829           0.640669
L2N8      0.849378     0.838323       0.007677       0.226624          0.996272          0.915168          0.060687          0.050840           0.824393           0.565887
L3N8      0.850760     0.829418       0.007370       0.371718          0.995266          0.688241          0.031663          0.013292           0.837822           0.399194
L4N8      0.851681     0.829725       0.012897       0.516813          0.997418          0.651009          0.010260          0.000000           0.828540           0.297971
L5N8      0.853831     0.759251       0.020267       1.000000          0.997039          0.397450          0.005596          0.000000           0.809449           0.150442
L1N4      0.848610     0.832028       0.000768       0.290035          0.982417          0.744577          0.122962          0.116089           0.791282           0.485860
L2N4      0.851681     0.820359       0.054046       0.648856          0.790376          0.519282          0.000000          0.000000           0.631793           0.178152
L3N4      0.850914     0.759251       0.025795       1.000000          0.870195          0.000000          0.000000          0.000000           0.718264           0.000000
L4N4      0.850146     0.696760       0.014433       0.587594          0.987887          0.501814          0.009967          0.000000           0.833049           0.214326
L5N4      0.852756     0.759251       0.392753       1.000000          0.942143          0.000000          0.000000          0.000000           0.443056           0.000000
L1N2      0.844004     0.824505       0.019807       0.520651          0.986108          0.624731          0.079391          0.000000           0.721341           0.285716
L2N2      0.759251     0.823277       1.000000       0.486105          0.000000          0.582421          0.000000          0.000000           0.000000           0.285189
L3N2      0.840319     0.818056       0.104407       0.531399          0.751095          0.575271          0.000000          0.000000           0.553829           0.264144
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.001305          0.000000          0.000000           0.000000           0.000145
L5N2      0.852602     0.763550       0.410410       0.626132          0.940195          0.518555          0.000000          0.000000           0.429981           0.201346
