       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.853063     0.841855       0.004606       0.093352          0.999821          0.922180          0.019282          0.077239           0.848915           0.658997
L2N64     0.850607     0.838016       0.005988       0.210195          0.999383          0.933151          0.000563          0.036828           0.853574           0.598801
L3N64     0.853677     0.838016       0.005834       0.142945          0.999972          0.896123          0.000033          0.056366           0.855110           0.625261
L4N64     0.846922     0.836942       0.006142       0.102718          0.999996          0.883558          0.000002          0.088591           0.857114           0.626836
L5N64     0.845233     0.837402       0.005681       0.247351          0.999997          0.840621          0.000001          0.050592           0.843809           0.493556
L1N32     0.851988     0.838016       0.003224       0.236143          0.998066          0.905882          0.055950          0.038913           0.842284           0.566744
L2N32     0.849992     0.836481       0.005834       0.240289          0.997692          0.855030          0.001766          0.024892           0.843797           0.511645
L3N32     0.851835     0.832642       0.006142       0.286197          0.998750          0.785646          0.000596          0.037869           0.856463           0.472991
L4N32     0.851067     0.832642       0.009212       0.291724          0.998389          0.872902          0.004033          0.022791           0.857388           0.515392
L5N32     0.852295     0.830186       0.009673       0.326885          0.999896          0.773727          0.000153          0.045965           0.854406           0.458021
L1N16     0.853370     0.836327       0.002764       0.150161          0.996527          0.923497          0.126336          0.046323           0.836002           0.623233
L2N16     0.849378     0.833564       0.006602       0.272225          0.993468          0.876840          0.037774          0.047814           0.832626           0.524429
L3N16     0.852142     0.835406       0.008598       0.240749          0.996583          0.854455          0.007000          0.007043           0.835355           0.533370
L4N16     0.855213     0.824351       0.007830       0.369108          0.997772          0.714941          0.012817          0.014370           0.844819           0.456978
L5N16     0.851221     0.827576       0.012130       0.142484          0.997239          0.887009          0.001430          0.000005           0.837490           0.636824
L1N8      0.848610     0.827576       0.001689       0.362506          0.998096          0.835042          0.210879          0.040248           0.802454           0.445873
L2N8      0.853063     0.836788       0.005220       0.186550          0.985362          0.865672          0.057744          0.000000           0.829074           0.573354
L3N8      0.851221     0.831107       0.008598       0.272071          0.994990          0.805033          0.006479          0.045360           0.837839           0.497790
L4N8      0.853063     0.819745       0.007984       0.510517          0.994701          0.644717          0.006673          0.000000           0.840446           0.211463
L5N8      0.849992     0.759251       0.006909       1.000000          0.993567          0.000000          0.013028          0.000000           0.822743           0.000000
L1N4      0.845693     0.829725       0.010594       0.281744          0.980548          0.706134          0.156936          0.000000           0.779449           0.438814
L2N4      0.842930     0.830339       0.382005       0.370183          0.940341          0.700605          0.000000          0.059795           0.445241           0.421834
L3N4      0.853370     0.759251       0.014126       1.000000          0.990211          0.429904          0.006313          0.000000           0.826268           0.156161
L4N4      0.851067     0.828036       0.065101       0.290189          0.799715          0.890968          0.000000          0.000000           0.630652           0.431557
L5N4      0.849532     0.833871       0.027791       0.365730          0.998178          0.548433          0.006327          0.000000           0.824087           0.258831
L1N2      0.845386     0.765085       0.063872       0.680332          0.788507          0.511698          0.000000          0.000000           0.613412           0.180504
L2N2      0.849839     0.750806       0.395977       0.705051          0.935109          0.506543          0.000000          0.000000           0.433382           0.172380
L3N2      0.851835     0.824812       0.056656       0.609243          0.794725          0.648326          0.000000          0.000000           0.636371           0.255944
L4N2      0.846154     0.759251       0.083679       1.000000          0.763929          0.000000          0.000000          0.000000           0.588926           0.000000
L5N2      0.759251     0.811608       1.000000       0.646400          0.000000          0.440850          0.000000          0.000000           0.000000           0.161244
