       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.855059     0.836327       0.004146       0.199908          0.999362          0.884029          0.021496          0.054622           0.844739           0.575031
L2N64     0.851528     0.837863       0.004760       0.273300          0.999699          0.873608          0.000666          0.033792           0.864512           0.520336
L3N64     0.853524     0.843083       0.004760       0.091816          0.999986          0.923630          0.000018          0.093940           0.860984           0.658565
L4N64     0.851528     0.839859       0.004453       0.183326          1.000000          0.886440          0.000011          0.051102           0.848375           0.575416
L5N64     0.850146     0.837249       0.005220       0.216797          1.000000          0.938976          0.000013          0.049468           0.876535           0.584007
L1N32     0.852449     0.836788       0.003071       0.130662          0.998754          0.924493          0.078636          0.097583           0.842962           0.630213
L2N32     0.851067     0.841855       0.004453       0.183479          0.998306          0.886093          0.002549          0.027151           0.857564           0.573012
L3N32     0.848764     0.838016       0.004760       0.136650          0.999702          0.853197          0.000114          0.079260           0.843208           0.600550
L4N32     0.854599     0.838784       0.005067       0.205589          0.999803          0.812503          0.000502          0.079049           0.860395           0.531052
L5N32     0.851988     0.824198       0.004453       0.424382          0.998522          0.841069          0.003488          0.041013           0.855296           0.427930
L1N16     0.852756     0.841241       0.000461       0.135882          0.998599          0.937149          0.267329          0.083440           0.837184           0.621811
L2N16     0.850607     0.835713       0.003224       0.287732          0.994323          0.832635          0.043239          0.002662           0.848044           0.506004
L3N16     0.854291     0.832489       0.005220       0.231076          0.991765          0.870801          0.019461          0.035079           0.845107           0.551677
L4N16     0.850146     0.834024       0.004606       0.310149          0.995437          0.854093          0.012290          0.033235           0.844966           0.495981
L5N16     0.856134     0.826501       0.005067       0.193766          0.997420          0.877385          0.003746          0.000440           0.836535           0.576947
L1N8      0.847996     0.759251       0.000768       1.000000          0.998835          0.380235          0.309390          0.000000           0.830385           0.139314
L2N8      0.853370     0.834638       0.003685       0.255643          0.988210          0.829427          0.123352          0.064901           0.832112           0.508946
L3N8      0.854752     0.759251       0.004606       1.000000          0.992557          0.086565          0.075357          0.000000           0.832686           0.043624
L4N8      0.851067     0.759251       0.040534       1.000000          0.801421          0.013292          0.000000          0.000000           0.652930           0.000003
L5N8      0.851835     0.833564       0.025334       0.328420          0.913570          0.798994          0.000000          0.009257           0.767138           0.438976
L1N4      0.849839     0.824044       0.005067       0.413788          0.981329          0.825353          0.150353          0.000000           0.781914           0.396807
L2N4      0.851528     0.759251       0.001075       1.000000          0.994402          0.000000          0.337284          0.000000           0.800982           0.000000
L3N4      0.849071     0.815907       0.083832       0.454783          0.780970          0.508544          0.000000          0.000000           0.597342           0.244256
L4N4      0.849992     0.759251       0.071856       1.000000          0.763926          0.057521          0.000000          0.032266           0.597388           0.044887
L5N4      0.848764     0.759251       0.045448       1.000000          0.772536          0.000000          0.000000          0.000000           0.628446           0.000000
L1N2      0.844618     0.759251       0.089667       1.000000          0.748699          0.417918          0.000000          0.000000           0.560482           0.156768
L2N2      0.850453     0.759251       0.040688       1.000000          0.959853          0.413613          0.016536          0.000000           0.727823           0.157577
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000          0.000000          0.000000           0.000000           0.000000
L4N2      0.850760     0.759251       0.083372       1.000000          0.751926          0.000000          0.000000          0.000000           0.568290           0.000000
L5N2      0.759251     0.830953       1.000000       0.308153          0.000000          0.746375          0.000000          0.000000           0.000000           0.404929
