       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.851988     0.840012       0.005681       0.097344          0.998892          0.908370          0.001612          0.064028           0.849969           0.638387
L2N64     0.852602     0.841855       0.005220       0.061109          0.999685          0.935435          0.000488          0.064288           0.855016           0.693010
L3N64     0.846307     0.829111       0.005067       0.052664          0.999982          0.965114          0.000054          0.101898           0.851734           0.704324
L4N64     0.847996     0.835099       0.005834       0.109320          0.999938          0.898930          0.000043          0.079730           0.881959           0.646680
L5N64     0.852756     0.842008       0.025641       0.210502          1.000000          0.944078          0.000010          0.040975           0.820829           0.575487
L1N32     0.854752     0.840319       0.005067       0.176416          0.995447          0.891888          0.016837          0.064481           0.839658           0.588595
L2N32     0.853370     0.838016       0.005374       0.219254          0.997357          0.837792          0.004218          0.041869           0.850437           0.547791
L3N32     0.850146     0.833717       0.005374       0.183479          0.997974          0.884928          0.005704          0.041183           0.853022           0.573090
L4N32     0.852602     0.839552       0.007216       0.223399          0.999926          0.832041          0.003681          0.036852           0.850711           0.521329
L5N32     0.847075     0.832949       0.005220       0.222939          0.999412          0.844192          0.001012          0.043719           0.852395           0.551433
L1N16     0.852142     0.836634       0.003838       0.339628          0.996084          0.837754          0.100947          0.020733           0.838933           0.464285
L2N16     0.849532     0.828036       0.005220       0.551052          0.992290          0.703114          0.012083          0.000713           0.836621           0.350067
L3N16     0.851374     0.831261       0.007677       0.362045          0.984245          0.684210          0.019771          0.055794           0.814605           0.381156
L4N16     0.854752     0.834024       0.005220       0.340703          0.998534          0.792756          0.010814          0.015527           0.840169           0.441860
L5N16     0.848303     0.828804       0.005374       0.422079          0.998098          0.763673          0.008121          0.000000           0.827281           0.407047
L1N8      0.852756     0.839091       0.003224       0.200215          0.994108          0.908503          0.157822          0.046149           0.827199           0.573607
L2N8      0.854138     0.840626       0.005834       0.221250          0.996203          0.921796          0.100786          0.035393           0.831814           0.563527
L3N8      0.851221     0.835253       0.005681       0.342699          0.986039          0.725012          0.000000          0.021473           0.820469           0.413776
L4N8      0.855673     0.828804       0.011515       0.288346          0.997491          0.727648          0.032581          0.000000           0.844847           0.441422
L5N8      0.852142     0.830032       0.007523       0.329495          0.988672          0.785678          0.043816          0.000000           0.824349           0.444621
L1N4      0.851835     0.759251       0.035775       1.000000          0.791537          0.413273          0.000000          0.000000           0.632289           0.153646
L2N4      0.854291     0.839552       0.004760       0.220175          0.991024          0.859554          0.097979          0.050502           0.816969           0.560106
L3N4      0.853217     0.834024       0.007216       0.369569          0.993633          0.759092          0.038547          0.012430           0.825233           0.430215
L4N4      0.851067     0.759251       0.041148       1.000000          0.990286          0.000000          0.000000          0.000000           0.797836           0.000000
L5N4      0.851221     0.818670       0.069707       0.591433          0.793742          0.509133          0.000000          0.000000           0.618372           0.215364
L1N2      0.845386     0.759251       0.099800       1.000000          0.984998          0.078742          0.070269          0.000000           0.673478           0.000191
L2N2      0.852295     0.759251       0.070474       1.000000          0.764313          0.424776          0.000000          0.000000           0.596259           0.153449
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000          0.000000          0.000000           0.000000           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.085814          0.000000          0.000000          0.000000           0.000052           0.000000
L5N2      0.845693     0.759251       0.090127       1.000000          0.762142          0.000000          0.000000          0.000000           0.578951           0.000000
