       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.840626     0.829572       0.005374       0.285736          0.999924          0.885400      6.240131e-02          0.037798           0.846575           0.510388
L2N64     0.841394     0.824505       0.006909       0.114080          0.999575          0.901352      1.413135e-03          0.044836           0.866031           0.657874
L3N64     0.835867     0.829265       0.006909       0.140181          0.999921          0.886379      1.508805e-05          0.066501           0.866321           0.607001
L4N64     0.838323     0.830646       0.007677       0.143098          1.000000          0.871144      3.075390e-06          0.044330           0.865022           0.606436
L5N64     0.839245     0.828650       0.006602       0.095194          1.000000          0.929052      5.237401e-08          0.074449           0.873267           0.651847
L1N32     0.842622     0.830032       0.005067       0.087824          0.999678          0.936323      2.557448e-02          0.075851           0.837861           0.671253
L2N32     0.840473     0.833410       0.007984       0.088439          0.997171          0.909337      5.018065e-03          0.056063           0.833950           0.676238
L3N32     0.839859     0.828650       0.006756       0.243513          0.998209          0.877304      5.913206e-03          0.057111           0.856072           0.544006
L4N32     0.839705     0.825733       0.007830       0.151697          0.999384          0.917940      1.794591e-04          0.045826           0.844949           0.626255
L5N32     0.842469     0.822355       0.007216       0.084907          0.999950          0.861315      4.388730e-06          0.053176           0.844304           0.634265
L1N16     0.841548     0.828190       0.002457       0.199908          0.997516          0.904630      2.035298e-01          0.032155           0.830231           0.591511
L2N16     0.839091     0.823584       0.006142       0.329034          0.995390          0.755924      2.548104e-02          0.046184           0.833075           0.443295
L3N16     0.841855     0.821741       0.007370       0.340857          0.993949          0.805849      1.274256e-02          0.035331           0.829431           0.438377
L4N16     0.842469     0.824505       0.008905       0.439582          0.996630          0.752133      1.169147e-02          0.021101           0.846800           0.364138
L5N16     0.842622     0.822816       0.010594       0.348687          0.998777          0.816801      3.500044e-03          0.029180           0.854273           0.452928
L1N8      0.840780     0.828343       0.003685       0.295102          0.999569          0.858931      1.222423e-01          0.049397           0.823355           0.486182
L2N8      0.843237     0.824658       0.005681       0.250422          0.985506          0.786061      1.211933e-01          0.000000           0.821079           0.483401
L3N8      0.843697     0.823891       0.051129       0.320129          0.802845          0.768488      0.000000e+00          0.000000           0.652806           0.445612
L4N8      0.842622     0.824965       0.008291       0.445877          0.988290          0.746111      5.121041e-02          0.000000           0.834453           0.370967
L5N8      0.841394     0.759251       0.011976       1.000000          0.994717          0.000000      9.150201e-03          0.000000           0.834427           0.000000
L1N4      0.841087     0.822969       0.001382       0.290189          0.978137          0.846598      3.396964e-01          0.054013           0.797570           0.473265
L2N4      0.841855     0.825580       0.046215       0.268233          0.815619          0.758699      0.000000e+00          0.000000           0.661495           0.471363
L3N4      0.841548     0.759251       0.154153       1.000000          0.996165          0.007968      0.000000e+00          0.000000           0.689236           0.001933
L4N4      0.836941     0.825273       0.054199       0.371257          0.796509          0.767642      0.000000e+00          0.000000           0.636677           0.411929
L5N4      0.838630     0.806080       0.081990       0.477507          0.805762          0.778990      0.000000e+00          0.000000           0.618598           0.298851
L1N2      0.832028     0.817288       0.407646       0.538615          0.907417          0.571358      0.000000e+00          0.000000           0.383010           0.254351
L2N2      0.834485     0.759251       0.125902       1.000000          0.758546          0.000000      0.000000e+00          0.000000           0.553099           0.000000
L3N2      0.834945     0.759251       0.087824       1.000000          0.771888          0.009586      0.000000e+00          0.000000           0.583664           0.001068
L4N2      0.759251     0.823277       1.000000       0.491632          0.000000          0.659599      0.000000e+00          0.000000           0.000000           0.253018
L5N2      0.759251     0.759251       1.000000       1.000000          0.073256          0.000000      0.000000e+00          0.000000           0.000020           0.000000
