       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.850299     0.834792       0.011208       0.294949          0.999622          0.858036      1.653095e-04          0.012817           0.820462           0.493299
L2N64     0.849378     0.832796       0.008138       0.259020          0.998325          0.830242      1.567812e-04          0.019765           0.853633           0.508284
L3N64     0.848918     0.836327       0.007677       0.243820          0.999780          0.906486      1.621876e-05          0.012210           0.852453           0.554623
L4N64     0.849071     0.834178       0.008445       0.317826          0.999683          0.767936      2.223200e-06          0.032391           0.851326           0.444897
L5N64     0.846307     0.832489       0.015047       0.328881          1.000000          0.824248      3.484620e-09          0.022737           0.849413           0.415310
L1N32     0.850760     0.832949       0.010287       0.304314          0.995785          0.882506      1.095590e-03          0.012624           0.813328           0.500588
L2N32     0.847382     0.833717       0.008752       0.380930          0.997837          0.718451      1.286162e-03          0.017883           0.832114           0.407471
L3N32     0.849225     0.825426       0.009212       0.368647          0.997190          0.823547      3.252724e-04          0.008049           0.824216           0.422308
L4N32     0.844618     0.831875       0.008138       0.356671          0.998540          0.749800      1.476395e-04          0.021994           0.843510           0.412378
L5N32     0.850146     0.830800       0.009366       0.336404          0.995413          0.739112      3.909040e-04          0.010764           0.834537           0.454049
L1N16     0.846922     0.834178       0.022877       0.229080          0.993134          0.876871      4.511884e-03          0.022993           0.767462           0.549728
L2N16     0.848764     0.828650       0.011976       0.426071          0.994955          0.659935      1.604529e-03          0.021425           0.833196           0.370749
L3N16     0.850453     0.832182       0.008598       0.378320          0.992362          0.809810      3.796741e-03          0.015124           0.840898           0.419180
L4N16     0.849992     0.819438       0.009366       0.411638          0.992726          0.740831      2.115786e-03          0.010671           0.836321           0.372628
L5N16     0.848764     0.829879       0.013204       0.427146          0.996394          0.790649      8.504266e-04          0.011904           0.796792           0.380268
L1N8      0.843390     0.823584       0.064179       0.500998          0.996563          0.688372      1.280254e-02          0.000000           0.720000           0.324347
L2N8      0.847689     0.829418       0.007677       0.408567          0.984429          0.780812      4.611516e-02          0.012494           0.804818           0.395563
L3N8      0.848764     0.824658       0.010594       0.508521          0.978214          0.675446      2.168128e-02          0.000000           0.795109           0.285025
L4N8      0.848764     0.824351       0.016122       0.483802          0.992698          0.676413      1.725423e-02          0.000000           0.801500           0.334187
L5N8      0.850914     0.759251       0.023952       1.000000          0.901203          0.000000      0.000000e+00          0.000000           0.762673           0.000000
L1N4      0.839552     0.816828       0.046522       0.602487          0.955719          0.557686      7.999706e-02          0.000000           0.708819           0.225576
L2N4      0.849532     0.820206       0.070782       0.503608          0.806998          0.602926      0.000000e+00          0.000000           0.625963           0.298840
L3N4      0.848457     0.764625       0.109013       0.965607          0.791211          0.432151      0.000000e+00          0.000000           0.598687           0.141049
L4N4      0.848918     0.822969       0.087824       0.481345          0.805090          0.690967      0.000000e+00          0.001497           0.623787           0.330739
L5N4      0.845847     0.826347       0.103332       0.474436          0.757075          0.669127      0.000000e+00          0.000000           0.575102           0.317430
L1N2      0.835867     0.759251       0.344235       1.000000          0.726597          0.412587      0.000000e+00          0.000000           0.414849           0.119628
L2N2      0.836174     0.814218       0.246430       0.734224          0.764078          0.425121      0.000000e+00          0.000000           0.493974           0.149485
L3N2      0.841241     0.759251       0.184247       1.000000          0.752308          0.000000      0.000000e+00          0.000000           0.519604           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.019454      0.000000e+00          0.000000           0.000000           0.005015
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.045249      0.000000e+00          0.000000           0.000000           0.004031
