       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849839     0.841701       0.007984       0.147398          0.999503          0.894206      5.319142e-04          0.022938           0.833082           0.620139
L2N64     0.849992     0.839705       0.008752       0.268540          0.998203          0.806385      5.946456e-05          0.018539           0.842515           0.501619
L3N64     0.846000     0.836942       0.008598       0.291264          0.999898          0.761035      2.738734e-05          0.008970           0.848514           0.464977
L4N64     0.842930     0.836942       0.012744       0.250576          0.999999          0.839312      9.738997e-08          0.028849           0.841891           0.506819
L5N64     0.842008     0.835867       0.010287       0.312452          0.999968          0.833513      4.291534e-06          0.012423           0.845703           0.471557
L1N32     0.850146     0.837095       0.010748       0.303240          0.996855          0.867190      7.218296e-04          0.017384           0.820767           0.478584
L2N32     0.850607     0.832489       0.010134       0.352986          0.995244          0.835036      3.162886e-03          0.012887           0.840910           0.454753
L3N32     0.849071     0.833103       0.009212       0.377399          0.993034          0.833061      1.024095e-03          0.012785           0.843667           0.432697
L4N32     0.851221     0.833717       0.012437       0.258713          0.998886          0.884378      9.339310e-05          0.007417           0.833984           0.526397
L5N32     0.849685     0.830953       0.009059       0.398587          0.999722          0.769286      1.962412e-05          0.014144           0.857062           0.408063
L1N16     0.850760     0.821895       0.011669       0.616306          0.995758          0.435694      7.291211e-03          0.000000           0.806612           0.208315
L2N16     0.849992     0.833257       0.009827       0.281437          0.995251          0.805667      4.254488e-03          0.033523           0.815091           0.479196
L3N16     0.849839     0.832949       0.011362       0.433748          0.994308          0.766655      3.504219e-03          0.000056           0.825975           0.376101
L4N16     0.848610     0.826961       0.009827       0.472747          0.992524          0.618756      2.679773e-03          0.013349           0.819340           0.314405
L5N16     0.847996     0.759251       0.020728       1.000000          0.993253          0.012834      4.614004e-03          0.000000           0.785216           0.004108
L1N8      0.847996     0.830339       0.009827       0.491325          0.965104          0.675314      3.331849e-02          0.000000           0.785491           0.320399
L2N8      0.851221     0.830646       0.008905       0.326731          0.986672          0.687050      1.975590e-02          0.000000           0.802468           0.432585
L3N8      0.851374     0.807923       0.010134       0.626900          0.988717          0.475776      1.942382e-02          0.000000           0.806587           0.183183
L4N8      0.848918     0.814525       0.010901       0.403654          0.969992          0.613396      9.715080e-03          0.000000           0.796337           0.307972
L5N8      0.848610     0.759251       0.034086       1.000000          0.989166          0.000000      1.995206e-03          0.000000           0.792129           0.000000
L1N4      0.845233     0.759251       0.066789       1.000000          0.998165          0.379920      1.670271e-02          0.000000           0.704649           0.104164
L2N4      0.846154     0.759251       0.042530       0.999846          0.973769          0.380411      4.392862e-03          0.000000           0.732031           0.112012
L3N4      0.849225     0.831875       0.059880       0.461999          0.813019          0.717370      0.000000e+00          0.000000           0.646277           0.318596
L4N4      0.850146     0.759251       0.055735       1.000000          0.787643          0.000000      0.000000e+00          0.000000           0.631726           0.000000
L5N4      0.847689     0.812682       0.053125       0.663749          0.813017          0.513074      0.000000e+00          0.000000           0.652733           0.177798
L1N2      0.842315     0.759251       0.146476       1.000000          0.978256          0.399104      1.740259e-02          0.000000           0.635259           0.105046
L2N2      0.845233     0.759251       0.375710       1.000000          0.929772          0.006193      0.000000e+00          0.000000           0.438153           0.000420
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.007462      0.000000e+00          0.000000           0.000000           0.002455
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.075576      0.000000e+00          0.000000           0.000000           0.018033
