       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.848733     0.836588       0.008337       0.273990          0.998873          0.857234      2.540362e-04      1.573843e-02           0.833409           0.511405
L2N64     0.846645     0.835836       0.008322       0.248733          0.998544          0.851431      8.198278e-05      1.589072e-02           0.845673           0.525850
L3N64     0.846031     0.835575       0.007923       0.256856          0.999441          0.852147      3.700239e-05      1.342564e-02           0.850833           0.521008
L4N64     0.842361     0.835683       0.008660       0.262583          0.999925          0.843210      6.453205e-07      1.442102e-02           0.848707           0.517009
L5N64     0.842653     0.833180       0.009550       0.309719          0.999968          0.804422      8.778926e-07      1.286613e-02           0.847446           0.455636
L1N32     0.847950     0.834623       0.009289       0.313972          0.997815          0.843593      1.172999e-03      1.593193e-02           0.816861           0.478507
L2N32     0.846016     0.834055       0.008015       0.281253          0.996559          0.818416      1.234235e-03      1.492992e-02           0.833771           0.498390
L3N32     0.846860     0.833579       0.008568       0.336235          0.996561          0.830432      6.528231e-04      9.929609e-03           0.834956           0.460458
L4N32     0.846154     0.830938       0.010287       0.353539          0.997549          0.802788      4.638377e-04      1.457901e-02           0.827507           0.432324
L5N32     0.846983     0.830354       0.011516       0.387179          0.998357          0.774918      1.869362e-04      9.121150e-03           0.828522           0.410079
L1N16     0.847812     0.831199       0.012222       0.379840          0.993990          0.784204      7.160767e-03      1.308556e-02           0.794922           0.418008
L2N16     0.847428     0.830923       0.009934       0.333671          0.994571          0.798243      3.292378e-03      1.328758e-02           0.824672           0.451024
L3N16     0.846553     0.830217       0.009550       0.420359          0.993280          0.741052      4.136354e-03      1.188667e-02           0.828488           0.378791
L4N16     0.847796     0.820267       0.010870       0.497973          0.992887          0.634157      4.316421e-03      8.534100e-03           0.819248           0.329744
L5N16     0.848257     0.811715       0.012467       0.539536          0.995664          0.568893      1.626687e-03      8.729538e-03           0.815627           0.283297
L1N8      0.845754     0.822002       0.035237       0.489344          0.986826          0.707736      3.028504e-02      8.586331e-03           0.751412           0.341725
L2N8      0.847735     0.828481       0.022094       0.452710          0.988388          0.720830      1.236488e-02      8.140153e-03           0.795894           0.351627
L3N8      0.846860     0.818563       0.020758       0.568448          0.966900          0.564377      1.072042e-02      1.483000e-04           0.776570           0.257676
L4N8      0.846937     0.802718       0.018486       0.630385          0.981737          0.500194      6.938500e-03      1.100000e-06           0.796866           0.226022
L5N8      0.846722     0.795609       0.027606       0.697390          0.960141          0.443065      3.882164e-03      6.394744e-04           0.779356           0.195965
L1N4      0.842884     0.786596       0.084492       0.788515          0.980293          0.402961      3.671112e-02      1.300000e-05           0.686992           0.151406
L2N4      0.846123     0.784508       0.109458       0.818762          0.956706          0.456616      5.438872e-03      7.688999e-07           0.681463           0.173727
L3N4      0.846876     0.793628       0.057531       0.752664          0.852218          0.523800      4.134600e-03      4.809000e-04           0.674315           0.203590
L4N4      0.846937     0.777844       0.113450       0.801720          0.937675          0.373578      2.839148e-03      1.497000e-04           0.678408           0.146025
L5N4      0.837080     0.771304       0.155873       0.913818          0.760489          0.137633      1.231677e-03      0.000000e+00           0.595954           0.053466
L1N2      0.839106     0.759251       0.241194       1.000000          0.875509          0.282835      1.348124e-02      0.000000e+00           0.531591           0.079210
L2N2      0.833088     0.784800       0.291571       0.838231          0.755220          0.302871      0.000000e+00      0.000000e+00           0.481539           0.110842
L3N2      0.826685     0.779825       0.342776       0.874206          0.654605          0.219089      0.000000e+00      0.000000e+00           0.445157           0.083689
L4N2      0.792062     0.770736       0.659850       0.928681          0.351876          0.132579      3.532805e-03      0.000000e+00           0.246196           0.042266
L5N2      0.775541     0.759251       0.826685       1.000000          0.152927          0.012082      0.000000e+00      0.000000e+00           0.111767           0.002206
