       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.850238     0.836297       0.004744       0.175802          0.999216          0.902172          0.022257      5.676150e-02           0.849470           0.588828
L2N64     0.848795     0.835913       0.005144       0.148994          0.999625          0.915301          0.001119      4.579670e-02           0.860157           0.627966
L3N64     0.847137     0.834592       0.005313       0.123937          0.999889          0.913189          0.000138      5.978860e-02           0.859930           0.638380
L4N64     0.845616     0.835683       0.005420       0.145233          0.999990          0.897498          0.000009      4.728870e-02           0.861960           0.621003
L5N64     0.845663     0.835437       0.007339       0.169615          0.999998          0.906480          0.000003      4.427700e-02           0.857926           0.594542
L1N32     0.850085     0.834623       0.003746       0.184692          0.998064          0.906262          0.061147      6.011470e-02           0.844661           0.596616
L2N32     0.848534     0.836634       0.005359       0.147398          0.997626          0.901979          0.007212      4.620660e-02           0.850097           0.620077
L3N32     0.848902     0.833702       0.005297       0.208107          0.998971          0.870049          0.002336      4.805700e-02           0.850931           0.558793
L4N32     0.848641     0.830861       0.006142       0.246522          0.998966          0.851347          0.002129      4.370600e-02           0.852384           0.535803
L5N32     0.847920     0.827744       0.006203       0.265500          0.999364          0.820290          0.001212      2.968790e-02           0.851099           0.505450
L1N16     0.849439     0.832965       0.002042       0.260909          0.995188          0.885304          0.233752      3.435240e-02           0.835284           0.532092
L2N16     0.848534     0.831199       0.005097       0.320144          0.994685          0.810091          0.032479      3.852700e-02           0.842542           0.474960
L3N16     0.849793     0.831998       0.006479       0.243298          0.992750          0.855197          0.014014      3.803450e-02           0.835770           0.531113
L4N16     0.849962     0.821941       0.006925       0.415354          0.997349          0.754125          0.008734      1.806550e-02           0.845277           0.419567
L5N16     0.848841     0.825610       0.007001       0.313941          0.997041          0.782879          0.013223      1.196820e-02           0.837617           0.469360
L1N8      0.847689     0.823399       0.002288       0.353877          0.997027          0.795276          0.210661      3.591000e-02           0.817151           0.464232
L2N8      0.848887     0.830769       0.005021       0.269937          0.989578          0.828142          0.110843      2.029140e-02           0.826018           0.499831
L3N8      0.849931     0.821603       0.010656       0.391340          0.971080          0.697414          0.026508      1.456410e-02           0.810918           0.405457
L4N8      0.848779     0.798818       0.015461       0.668494          0.953025          0.436356          0.022643      0.000000e+00           0.798733           0.208260
L5N8      0.849793     0.791985       0.018870       0.708767          0.957591          0.438822          0.015752      1.119900e-03           0.794445           0.217105
L1N4      0.845893     0.820344       0.018732       0.428174          0.957086          0.728809          0.112780      2.153070e-02           0.750485           0.394142
L2N4      0.848119     0.798096       0.058237       0.631614          0.926797          0.503761          0.079523      1.108830e-02           0.723586           0.270353
L3N4      0.848933     0.797344       0.050100       0.630785          0.916581          0.432375          0.009086      1.353700e-03           0.732379           0.235741
L4N4      0.847443     0.779349       0.044050       0.685122          0.867595          0.360099          0.022578      3.226600e-03           0.701915           0.192497
L5N4      0.837771     0.764701       0.198434       0.798664          0.791844          0.290929          0.007302      5.000000e-07           0.579041           0.103484
L1N2      0.841686     0.789037       0.129817       0.711853          0.933631          0.496353          0.042562      0.000000e+00           0.630615           0.213444
L2N2      0.829372     0.764809       0.280562       0.919116          0.718492          0.208782          0.016990      0.000000e+00           0.527710           0.077106
L3N2      0.817488     0.777215       0.359404       0.875081          0.537836          0.169952          0.000000      0.000000e+00           0.410892           0.071473
L4N2      0.811423     0.765654       0.444327       0.949163          0.477282          0.151054          0.000000      0.000000e+00           0.364884           0.056460
L5N2      0.785690     0.772087       0.793413       0.858068          0.270808          0.171601          0.000000      0.000000e+00           0.141175           0.076791
