       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849240     0.836128       0.932919       0.949962          0.302742          0.240205               0.0               0.0           0.033821           0.027896
L2N64     0.847966     0.836757       0.957393       0.941133          0.546758          0.255856               0.0               0.0           0.031132           0.029777
L3N64     0.848488     0.836189       0.961293       0.942960          0.669853          0.234476               0.0               0.0           0.029808           0.029292
L4N64     0.844603     0.834193       0.959496       0.951958          0.821218          0.232680               0.0               0.0           0.033249           0.027508
L5N64     0.844818     0.835130       0.959988       0.947751          0.870160          0.210396               0.0               0.0           0.029581           0.028987
L1N32     0.849823     0.835314       0.937417       0.937832          0.272801          0.205946               0.0               0.0           0.030093           0.031275
L2N32     0.850039     0.834101       0.953217       0.937080          0.426442          0.218891               0.0               0.0           0.028682           0.030917
L3N32     0.848841     0.834147       0.951958       0.946430          0.505774          0.232053               0.0               0.0           0.031224           0.029217
L4N32     0.849179     0.832642       0.938753       0.944619          0.559783          0.193260               0.0               0.0           0.034903           0.028472
L5N32     0.848641     0.831491       0.942438       0.958130          0.686344          0.182624               0.0               0.0           0.036886           0.023784
L1N16     0.850253     0.831813       0.917227       0.949685          0.255633          0.163130               0.0               0.0           0.038056           0.025332
L2N16     0.849455     0.832642       0.934178       0.957408          0.366825          0.159486               0.0               0.0           0.033285           0.022972
L3N16     0.849348     0.829311       0.931537       0.954491          0.390315          0.187345               0.0               0.0           0.035467           0.024954
L4N16     0.850330     0.826639       0.955458       0.967189          0.437975          0.182658               0.0               0.0           0.026998           0.019943
L5N16     0.849025     0.812406       0.946768       0.967434          0.448743          0.147016               0.0               0.0           0.029293           0.016589
L1N8      0.848703     0.820037       0.910333       0.976125          0.226466          0.178786               0.0               0.0           0.040425           0.018103
L2N8      0.849240     0.822371       0.927483       0.976294          0.281473          0.155610               0.0               0.0           0.034860           0.017710
L3N8      0.850146     0.813773       0.935038       0.970659          0.357463          0.163937               0.0               0.0           0.031975           0.017221
L4N8      0.849378     0.807140       0.942546       0.975418          0.297219          0.129337               0.0               0.0           0.029199           0.014669
L5N8      0.849885     0.781606       0.939214       0.979334          0.347733          0.068586               0.0               0.0           0.030571           0.008357
L1N4      0.843237     0.828174       0.924274       0.977599          0.181098          0.183123               0.0               0.0           0.031720           0.016330
L2N4      0.847444     0.816905       0.912206       0.970229          0.226130          0.165913               0.0               0.0           0.040129           0.017217
L3N4      0.850223     0.811285       0.922156       0.956410          0.269178          0.148398               0.0               0.0           0.037523           0.022070
L4N4      0.838293     0.758115       0.926378       0.992507          0.245331          0.097859               0.0               0.0           0.031241           0.007730
L5N4      0.839045     0.767343       0.924612       0.987318          0.240021          0.077558               0.0               0.0           0.032548           0.005975
L1N2      0.841947     0.775649       0.927130       0.983310          0.152176          0.176554               0.0               0.0           0.030686           0.013574
L2N2      0.842668     0.779840       0.918870       0.986749          0.188370          0.164489               0.0               0.0           0.033618           0.013065
L3N2      0.827683     0.785629       0.931798       0.985844          0.218776          0.107438               0.0               0.0           0.029122           0.010574
L4N2      0.793598     0.759251       0.964870       1.000000          0.086876          0.054852               0.0               0.0           0.013517           0.003562
L5N2      0.768448     0.769645       0.991970       0.994120          0.019330          0.077823               0.0               0.0           0.003230           0.004911
