       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.850453     0.842930       0.307692       0.622601          0.964799          0.518102      2.658061e-07          0.000700           0.480337           0.222327
L2N64     0.848457     0.842315       0.317519       0.615845          0.978097          0.505151      7.152557e-07          0.000721           0.508834           0.214386
L3N64     0.844158     0.837095       0.217411       0.631813          0.991997          0.460093      0.000000e+00          0.001037           0.582648           0.197313
L4N64     0.846000     0.834945       0.350530       0.664057          0.995232          0.585841      0.000000e+00          0.000490           0.491708           0.194023
L5N64     0.849685     0.838477       0.295563       0.717335          0.999818          0.453780      0.000000e+00          0.000486           0.508093           0.161285
L1N32     0.848764     0.837556       0.354675       0.627054          0.948388          0.505850      1.203234e-06          0.000652           0.454596           0.205140
L2N32     0.851067     0.835713       0.307232       0.625672          0.962897          0.506240      4.768372e-06          0.001625           0.505444           0.201707
L3N32     0.851988     0.834638       0.381391       0.736066          0.980078          0.372185      1.514281e-06          0.001945           0.449844           0.146960
L4N32     0.848764     0.832949       0.352372       0.722401          0.974412          0.413578      8.344650e-07          0.002097           0.483019           0.163408
L5N32     0.847843     0.833103       0.337325       0.658836          0.976143          0.499342      1.430511e-06          0.000567           0.473186           0.170826
L1N16     0.851835     0.837709       0.452480       0.663596          0.930359          0.506662      1.366138e-04          0.000460           0.383722           0.192306
L2N16     0.845693     0.830493       0.335176       0.783663          0.974000          0.293445      2.586842e-05          0.000701           0.463531           0.112011
L3N16     0.849992     0.833257       0.310302       0.654998          0.924526          0.474653      2.717972e-05          0.002396           0.489775           0.184417
L4N16     0.848764     0.834485       0.401351       0.683095          0.974840          0.555240      7.156636e-06          0.000899           0.433561           0.173753
L5N16     0.853524     0.827115       0.296484       0.789498          0.966845          0.421866      6.830692e-05          0.000197           0.509802           0.111468
L1N8      0.846768     0.835253       0.497006       0.692922          0.898156          0.382548      6.165504e-04          0.001643           0.345760           0.153483
L2N8      0.849225     0.830646       0.497774       0.804852          0.934911          0.278491      1.443028e-04          0.000000           0.356006           0.104093
L3N8      0.845540     0.809458       0.349762       0.854291          0.960633          0.362365      9.279208e-06          0.000000           0.449411           0.063833
L4N8      0.848610     0.830032       0.361124       0.798403          0.956129          0.363699      0.000000e+00          0.000000           0.453890           0.110502
L5N8      0.852449     0.759251       0.359742       1.000000          0.931127          0.000000      4.258156e-04          0.000000           0.462105           0.000000
L1N4      0.846461     0.759251       0.538769       1.000000          0.825022          0.000000      1.267088e-04          0.000000           0.298700           0.000000
L2N4      0.845847     0.819745       0.462613       0.807769          0.876194          0.382156      5.409718e-04          0.000304           0.371829           0.123941
L3N4      0.852142     0.829418       0.456625       0.663749          0.878207          0.433803      0.000000e+00          0.000000           0.378294           0.172625
L4N4      0.844926     0.759251       0.539076       1.000000          0.773115          0.199392      0.000000e+00          0.000000           0.299572           0.050157
L5N4      0.846154     0.759251       0.565638       1.000000          0.769274          0.000000      0.000000e+00          0.000000           0.292415           0.000000
L1N2      0.843083     0.820206       0.598188       0.820359          0.751080          0.325229      1.020133e-03          0.000000           0.256843           0.098649
L2N2      0.847382     0.759251       0.598649       1.000000          0.723321          0.000000      0.000000e+00          0.000000           0.264190           0.000000
L3N2      0.850453     0.759251       0.460464       1.000000          0.861123          0.000000      0.000000e+00          0.000000           0.308874           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000522      0.000000e+00          0.000000           0.000000           0.000018
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
