       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.844465     0.834638       0.411331       0.667127          0.954665          0.499670      1.075607e-07          0.000632           0.428647       1.810814e-01
L2N64     0.844004     0.833871       0.290342       0.588208          0.982258          0.562567      6.208622e-07          0.001471           0.522355       2.346458e-01
L3N64     0.844311     0.832489       0.310917       0.693382          0.994736          0.425883      0.000000e+00          0.000717           0.511109       1.571756e-01
L4N64     0.844004     0.835253       0.290189       0.674651          0.998818          0.552128      0.000000e+00          0.001435           0.534045       1.795434e-01
L5N64     0.838016     0.831568       0.290342       0.643022          0.998817          0.428035      0.000000e+00          0.000600           0.534346       1.830863e-01
L1N32     0.844311     0.821741       0.377553       0.789651          0.933040          0.357018      2.008938e-05          0.000000           0.435547       1.153204e-01
L2N32     0.843083     0.831107       0.278981       0.755566          0.969732          0.462425      1.144992e-05          0.000353           0.518106       1.449911e-01
L3N32     0.841087     0.830186       0.358821       0.619223          0.961265          0.476131      9.059906e-06          0.002426           0.464038       1.954595e-01
L4N32     0.841701     0.826040       0.351758       0.785199          0.978060          0.429420      6.138469e-07          0.000846           0.475211       1.240989e-01
L5N32     0.841701     0.826961       0.394903       0.728082          0.991443          0.495929      3.576279e-07          0.002945           0.459888       1.409376e-01
L1N16     0.846154     0.831875       0.473054       0.711500          0.952923          0.435590      7.892439e-07          0.000020           0.371761       1.580062e-01
L2N16     0.844465     0.829572       0.408721       0.709197          0.973177          0.541718      1.440049e-06          0.001174           0.431081       1.674231e-01
L3N16     0.846614     0.822355       0.349301       0.824351          0.976921          0.561509      4.864686e-05          0.002798           0.466074       1.122593e-01
L4N16     0.842622     0.820052       0.349762       0.805620          0.958837          0.339835      4.887581e-06          0.005561           0.466690       1.171335e-01
L5N16     0.842162     0.826961       0.306771       0.737141          0.953338          0.428779      7.021427e-05          0.000008           0.497177       1.648794e-01
L1N8      0.845386     0.825119       0.483034       0.759404          0.900270          0.396436      3.438582e-05          0.000277           0.352627       1.271238e-01
L2N8      0.845079     0.825580       0.380777       0.775219          0.950356          0.432118      4.673600e-04          0.000995           0.435676       1.246903e-01
L3N8      0.843390     0.826961       0.362659       0.759865          0.945026          0.451506      4.397631e-04          0.001287           0.464243       1.300742e-01
L4N8      0.844926     0.823737       0.384155       0.821895          0.932829          0.391377      0.000000e+00          0.000000           0.433492       9.884867e-02
L5N8      0.845847     0.759251       0.373407       1.000000          0.942027          0.001598      1.190901e-04          0.000000           0.446947       5.598974e-07
L1N4      0.844004     0.790419       0.561646       0.912636          0.815131          0.239569      3.293399e-04          0.000000           0.286137       5.101685e-02
L2N4      0.845386     0.759251       0.529403       1.000000          0.890967          0.287632      1.226902e-03          0.000000           0.315250       4.057486e-02
L3N4      0.844158     0.759251       0.399355       1.000000          0.964803          0.000000      2.139592e-04          0.000000           0.425918       0.000000e+00
L4N4      0.843237     0.809919       0.477507       0.892062          0.791788          0.258777      0.000000e+00          0.000000           0.350037       6.266183e-02
L5N4      0.844618     0.807616       0.447720       0.895286          0.928911          0.256794      4.553199e-04          0.000000           0.375911       6.268959e-02
L1N2      0.842930     0.759251       0.591740       1.000000          0.758223          0.369030      1.447082e-03          0.000000           0.262637       4.705551e-02
L2N2      0.842930     0.759251       0.519576       1.000000          0.708415          0.000000      0.000000e+00          0.000000           0.268547       0.000000e+00
L3N2      0.840626     0.810686       0.522801       0.935974          0.757974          0.240103      0.000000e+00          0.000000           0.308164       4.994704e-02
L4N2      0.842008     0.811454       0.556733       0.879472          0.763339          0.239036      0.000000e+00          0.000000           0.292781       5.990501e-02
L5N2      0.843237     0.759251       0.568862       1.000000          0.725870          0.000000      0.000000e+00          0.000000           0.281462       0.000000e+00
