       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.856595     0.839552       0.416705       0.768310          0.954739          0.446829      4.047348e-08          0.000397           0.433414           0.143440
L2N64     0.853984     0.842776       0.292953       0.709197          0.980941          0.546882      3.576279e-07          0.000532           0.525399           0.164932
L3N64     0.850299     0.841701       0.243359       0.666820          0.996764          0.491349      0.000000e+00          0.000329           0.562575           0.174308
L4N64     0.846768     0.834485       0.284201       0.760786          0.999743          0.420844      0.000000e+00          0.001082           0.536629           0.143553
L5N64     0.849685     0.839552       0.305543       0.736988          0.997921          0.487692      0.000000e+00          0.000118           0.515157           0.159349
L1N32     0.852602     0.838323       0.409028       0.720405          0.947504          0.431884      3.937806e-07          0.001050           0.418793           0.162845
L2N32     0.850453     0.836327       0.323660       0.641947          0.966393          0.525114      8.583069e-06          0.000439           0.489551           0.190289
L3N32     0.852142     0.837556       0.295102       0.731307          0.971813          0.492467      4.584089e-06          0.000742           0.516492           0.159018
L4N32     0.850760     0.838016       0.315062       0.720866          0.988729          0.378193      8.717475e-07          0.000487           0.517759           0.152192
L5N32     0.851221     0.836481       0.297866       0.732688          0.977437          0.507395      9.536743e-07          0.000355           0.530684           0.144694
L1N16     0.848764     0.842008       0.380623       0.651466          0.918802          0.552322      6.388927e-05          0.000254           0.434438           0.199341
L2N16     0.850914     0.841855       0.308306       0.668202          0.965205          0.538411      6.425381e-05          0.001616           0.501485           0.154834
L3N16     0.851374     0.835560       0.380930       0.803470          0.952586          0.296912      7.045269e-05          0.001221           0.449220           0.114315
L4N16     0.849378     0.833871       0.337786       0.855520          0.960894          0.424636      1.347065e-05          0.000355           0.481820           0.099270
L5N16     0.846154     0.835406       0.332412       0.741747          0.980488          0.262547      6.914139e-06          0.002322           0.499862           0.112136
L1N8      0.850146     0.834024       0.490404       0.820513          0.912523          0.428726      2.270341e-04          0.000000           0.349094           0.096421
L2N8      0.848303     0.759251       0.405036       1.000000          0.956119          0.000000      3.198440e-05          0.000000           0.419659           0.000000
L3N8      0.849532     0.832796       0.387533       0.802549          0.913354          0.383823      1.101494e-04          0.000000           0.432037           0.097257
L4N8      0.851835     0.834638       0.390910       0.786888          0.911072          0.393522      0.000000e+00          0.000022           0.426356           0.111024
L5N8      0.849839     0.824505       0.312298       0.852449          0.974722          0.383202      5.924702e-05          0.000222           0.494206           0.086195
L1N4      0.850146     0.833257       0.507754       0.736834          0.833871          0.411128      4.374981e-04          0.000000           0.323764           0.113169
L2N4      0.848918     0.759251       0.607554       1.000000          0.711494          0.283424      0.000000e+00          0.000000           0.244513           0.047925
L3N4      0.854291     0.759251       0.385076       1.000000          0.925589          0.239771      3.795946e-06          0.000000           0.425206           0.037424
L4N4      0.844158     0.759251       0.475818       1.000000          0.790603          0.000000      0.000000e+00          0.000000           0.346757           0.000000
L5N4      0.851374     0.759251       0.506525       1.000000          0.769014          0.290912      0.000000e+00          0.000000           0.333289           0.033170
L1N2      0.845693     0.798557       0.587901       0.889145          0.694737          0.390265      0.000000e+00          0.000000           0.222966           0.055536
L2N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.318595      0.000000e+00          0.000000           0.000000           0.044590
L3N2      0.847689     0.823891       0.543221       0.836020          0.854622          0.260142      0.000000e+00          0.000000           0.313487           0.072001
L4N2      0.844618     0.759251       0.621526       1.000000          0.732737          0.000000      0.000000e+00          0.000000           0.238702           0.000000
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.276365      0.000000e+00          0.000000           0.000000           0.037698
