       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849685     0.837863       0.419315       0.758944          0.974254          0.491042      2.461956e-07          0.000456           0.434779       1.428733e-01
L2N64     0.846307     0.839398       0.301244       0.690772          0.988820          0.461215      2.556766e-07          0.000284           0.516735       1.689360e-01
L3N64     0.845233     0.833410       0.241824       0.675725          0.995639          0.420125      3.576279e-07          0.000680           0.583380       1.568366e-01
L4N64     0.850760     0.836634       0.255028       0.714110          0.999923          0.501832      0.000000e+00          0.000997           0.579915       1.703705e-01
L5N64     0.850760     0.833257       0.356978       0.689544          0.998592          0.485664      0.000000e+00          0.000273           0.486121       1.565245e-01
L1N32     0.851988     0.838630       0.411024       0.655151          0.938538          0.531195      1.324907e-05          0.001067           0.427431       1.876698e-01
L2N32     0.849071     0.834485       0.284354       0.743590          0.981518          0.490318      1.084805e-05          0.001201           0.528248       1.429691e-01
L3N32     0.853217     0.836481       0.358053       0.639797          0.972767          0.459830      5.539791e-06          0.001841           0.469672       1.958347e-01
L4N32     0.852295     0.836174       0.281437       0.597881          0.988829          0.559980      1.677520e-06          0.000837           0.537745       2.308244e-01
L5N32     0.850760     0.824812       0.352219       0.796868          0.989304          0.357607      0.000000e+00          0.000677           0.471801       1.213679e-01
L1N16     0.850760     0.839091       0.428374       0.638108          0.933249          0.526889      3.021622e-05          0.000537           0.406589       2.089456e-01
L2N16     0.850914     0.832796       0.385844       0.776447          0.950507          0.326281      7.951260e-05          0.000000           0.448901       1.272625e-01
L3N16     0.850760     0.831568       0.317365       0.690619          0.954225          0.440326      2.398248e-05          0.001821           0.491653       1.536359e-01
L4N16     0.854599     0.827729       0.322279       0.807308          0.981393          0.325149      2.970939e-05          0.000282           0.477096       1.018543e-01
L5N16     0.850607     0.820666       0.370797       0.735145          0.976489          0.267545      5.125999e-06          0.000000           0.463591       8.958598e-02
L1N8      0.848610     0.828957       0.510978       0.689390          0.884486          0.378932      5.489588e-04          0.000000           0.337410       1.371809e-01
L2N8      0.851528     0.759251       0.415170       1.000000          0.922021          0.260936      2.981424e-04          0.000000           0.415923       3.781455e-02
L3N8      0.851835     0.761707       0.344695       0.988331          0.959272          0.300046      2.840757e-04          0.000000           0.474719       4.613788e-02
L4N8      0.849685     0.830493       0.385383       0.817596          0.885670          0.310437      0.000000e+00          0.000000           0.428235       1.045270e-01
L5N8      0.840626     0.829725       0.330109       0.839705          0.796795          0.356592      0.000000e+00          0.000000           0.442997       9.202167e-02
L1N4      0.849839     0.759251       0.506525       1.000000          0.868406          0.313558      1.514494e-03          0.000000           0.342752       4.466918e-02
L2N4      0.852142     0.759251       0.440350       1.000000          0.892673          0.000000      7.860314e-04          0.000000           0.385201       0.000000e+00
L3N4      0.851374     0.759251       0.449562       1.000000          0.929973          0.000000      4.053116e-04          0.000000           0.401096       0.000000e+00
L4N4      0.851067     0.816060       0.421004       0.855520          0.931008          0.312473      2.844930e-04          0.000000           0.416238       6.397687e-02
L5N4      0.847843     0.826808       0.523108       0.874866          0.781560          0.326222      0.000000e+00          0.000000           0.324485       7.758625e-02
L1N2      0.842008     0.759251       0.638108       1.000000          0.568357          0.310066      0.000000e+00          0.000000           0.186594       4.747391e-02
L2N2      0.852602     0.759251       0.510825       1.000000          0.868455          0.000258      6.496906e-04          0.000000           0.340015       1.069735e-07
L3N2      0.845386     0.759251       0.611853       1.000000          0.738423          0.008248      0.000000e+00          0.000000           0.245500       1.229764e-04
L4N2      0.759251     0.824965       1.000000       0.768463          0.000000          0.459385      0.000000e+00          0.000000           0.000000       1.069753e-01
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000169      0.000000e+00          0.000000           0.000000       7.202844e-05
