       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.851528     0.839552       0.338093       0.541225          0.967563          0.571687      1.063517e-06          0.000563           0.473413       2.599415e-01
L2N64     0.847843     0.835253       0.245509       0.616459          0.983007          0.475612      1.475791e-07          0.001027           0.544258       2.009487e-01
L3N64     0.847689     0.840626       0.233072       0.592200          0.991225          0.571937      0.000000e+00          0.001133           0.544540       2.265617e-01
L4N64     0.844311     0.832642       0.306618       0.739598          0.993866          0.356916      0.000000e+00          0.001212           0.509752       1.347803e-01
L5N64     0.845386     0.835560       0.343160       0.734992          0.999420          0.477818      0.000000e+00          0.002393           0.507742       1.517009e-01
L1N32     0.852449     0.837095       0.410563       0.596346          0.965374          0.533118      4.136686e-07          0.000676           0.418680       2.116771e-01
L2N32     0.848457     0.839245       0.255796       0.650699          0.973657          0.463768      1.382828e-05          0.000947           0.528090       1.773562e-01
L3N32     0.849839     0.830953       0.259327       0.724397          0.981484          0.410494      5.722046e-06          0.001644           0.537557       1.559451e-01
L4N32     0.848764     0.830800       0.324275       0.784892          0.990544          0.463511      8.702278e-06          0.001115           0.483394       1.288102e-01
L5N32     0.849992     0.833257       0.278673       0.670198          0.976621          0.502320      1.192093e-07          0.000724           0.534039       1.868775e-01
L1N16     0.847229     0.831568       0.388914       0.658222          0.950388          0.498086      1.830246e-05          0.000000           0.431596       1.660427e-01
L2N16     0.851221     0.836327       0.345002       0.628589          0.941930          0.547593      2.849102e-05          0.000000           0.468367       2.036629e-01
L3N16     0.850607     0.828497       0.359128       0.784738          0.941132          0.391317      1.082395e-04          0.000964           0.463438       1.165360e-01
L4N16     0.849992     0.827269       0.361431       0.773683          0.964278          0.464711      1.358986e-05          0.000894           0.457449       1.310998e-01
L5N16     0.849839     0.820206       0.334255       0.748042          0.978384          0.335836      7.830158e-06          0.002775           0.478991       1.078275e-01
L1N8      0.848610     0.759404       0.470597       0.999079          0.901478          0.322675      7.900000e-04          0.000000           0.357563       3.654935e-02
L2N8      0.849071     0.825733       0.386151       0.786274          0.942622          0.499242      3.773459e-04          0.000015           0.432656       1.152386e-01
L3N8      0.844926     0.759251       0.323200       0.998618          0.942638          0.100100      1.899600e-04          0.000000           0.491710       2.869933e-02
L4N8      0.852142     0.759251       0.389529       1.000000          0.990564          0.000000      1.817915e-05          0.000000           0.433529       0.000000e+00
L5N8      0.846922     0.759251       0.416552       1.000000          0.945435          0.000145      7.784367e-05          0.000000           0.422275       2.921204e-07
L1N4      0.847996     0.759251       0.510210       1.000000          0.888208          0.282499      9.440184e-04          0.000000           0.329013       4.257099e-02
L2N4      0.849071     0.759251       0.477967       1.000000          0.921124          0.285525      9.677410e-04          0.000000           0.363928       3.315939e-02
L3N4      0.846307     0.759251       0.471211       1.000000          0.778521          0.000118      0.000000e+00          0.000000           0.344030       2.478722e-07
L4N4      0.854291     0.813450       0.399969       0.818670          0.948622          0.316604      3.566742e-04          0.000000           0.422963       8.231488e-02
L5N4      0.847075     0.822048       0.464609       0.671580          0.782586          0.372905      0.000000e+00          0.000069           0.359950       1.588935e-01
L1N2      0.842315     0.759251       0.556272       1.000000          0.770941          0.366286      2.810061e-03          0.000000           0.278303       4.272983e-02
L2N2      0.842930     0.759251       0.541225       1.000000          0.867057          0.000000      0.000000e+00          0.000000           0.307173       0.000000e+00
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000       0.000000e+00
L4N2      0.843390     0.759251       0.597574       1.000000          0.724957          0.000947      0.000000e+00          0.000000           0.255600       8.135097e-05
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000014      0.000000e+00          0.000000           0.000000       3.678942e-06
