       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.852295     0.835713       0.081990       0.467066          0.998212          0.683499      2.870783e-06          0.004202           0.715044           0.331358
L2N64     0.847996     0.838016       0.022263       0.435283          0.998069          0.771709      1.287176e-05          0.002884           0.800503           0.381929
L3N64     0.849685     0.836788       0.018732       0.482420          0.999305          0.714627      3.328338e-08          0.004355           0.825618           0.323356
L4N64     0.851835     0.836174       0.094119       0.475203          0.999310          0.610468      1.192093e-07          0.003937           0.729966           0.312685
L5N64     0.845540     0.834792       0.107631       0.456472          0.999872          0.675459      0.000000e+00          0.001711           0.736850           0.337067
L1N32     0.851374     0.830953       0.127130       0.551052          0.997556          0.543989      3.118892e-05          0.002218           0.680222           0.247201
L2N32     0.849992     0.837249       0.038078       0.443114          0.993758          0.716619      6.337526e-05          0.002881           0.765862           0.345496
L3N32     0.848150     0.832796       0.050821       0.554276          0.991978          0.656700      2.006888e-04          0.001759           0.742531           0.293616
L4N32     0.853677     0.831875       0.078612       0.416244          0.996298          0.695268      6.835928e-05          0.004296           0.730909           0.356864
L5N32     0.848150     0.830339       0.043759       0.632581          0.998167          0.502084      1.098660e-05          0.003691           0.792623           0.206182
L1N16     0.854138     0.836481       0.131737       0.443728          0.995834          0.708406      1.140479e-03          0.003671           0.656290           0.361719
L2N16     0.853370     0.832489       0.035007       0.563028          0.986562          0.746734      1.092209e-03          0.001429           0.762565           0.297795
L3N16     0.852756     0.830953       0.041609       0.471211          0.990393          0.651392      2.790381e-04          0.014299           0.773021           0.288971
L4N16     0.853370     0.825887       0.092584       0.628589          0.983561          0.466679      1.381636e-04          0.000000           0.706773           0.204900
L5N16     0.847075     0.821127       0.054660       0.717027          0.995352          0.562333      1.233816e-04          0.010733           0.762107           0.185899
L1N8      0.849225     0.823891       0.239214       0.725472          0.975533          0.392587      5.481005e-03          0.000000           0.561774           0.153187
L2N8      0.851835     0.828036       0.103332       0.637341          0.974006          0.526076      7.831591e-03          0.000000           0.681424           0.201107
L3N8      0.853677     0.829265       0.099800       0.617074          0.983291          0.570232      1.740634e-03          0.000563           0.704476           0.219010
L4N8      0.856595     0.830800       0.048825       0.530170          0.976322          0.597873      5.875336e-03          0.004142           0.744584           0.262235
L5N8      0.852142     0.823737       0.122524       0.561185          0.813626          0.600128      0.000000e+00          0.000000           0.594024           0.208230
L1N4      0.842315     0.761554       0.307232       0.966989          0.963883          0.414264      4.629731e-03          0.000000           0.501251           0.098237
L2N4      0.843851     0.820973       0.307539       0.739905          0.968820          0.552608      9.097457e-04          0.000000           0.483972           0.141885
L3N4      0.848150     0.700445       0.267158       0.831568          0.758839          0.501336      0.000000e+00          0.000000           0.481381           0.108147
L4N4      0.850607     0.832028       0.154307       0.530785          0.785856          0.653309      0.000000e+00          0.000000           0.545148           0.271845
L5N4      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
L1N2      0.843083     0.759251       0.359281       1.000000          0.917593          0.379923      0.000000e+00          0.000000           0.397402           0.072916
L2N2      0.844158     0.759251       0.356825       1.000000          0.761560          0.000000      0.000000e+00          0.000000           0.420216           0.000000
L3N2      0.759251     0.817596       1.000000       0.899739          0.000000          0.376492      0.000000e+00          0.000000           0.000000           0.079959
L4N2      0.848918     0.759251       0.294795       1.000000          0.958436          0.391384      0.000000e+00          0.000000           0.487612           0.097794
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000108      0.000000e+00          0.000000           0.000000           0.000063
