       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.846461     0.834485       0.109934       0.382926          0.997573          0.779148      2.337136e-05          0.005442           0.707556           0.409983
L2N64     0.843851     0.834331       0.038538       0.346998          0.999573          0.808971      2.962315e-06          0.003457           0.768621           0.445346
L3N64     0.843237     0.832796       0.058498       0.454476          0.999968          0.683800      1.958447e-08          0.001677           0.785618           0.332873
L4N64     0.843697     0.835713       0.078151       0.450484          0.999944          0.765637      0.000000e+00          0.000749           0.786840           0.363485
L5N64     0.844772     0.826808       0.109627       0.515891          0.999902          0.590353      0.000000e+00          0.000348           0.729136           0.293568
L1N32     0.852449     0.831721       0.094119       0.461846          0.996522          0.746757      1.436531e-04          0.002710           0.691192           0.362844
L2N32     0.852295     0.830339       0.092738       0.491325          0.997743          0.635160      1.467523e-04          0.003600           0.720683           0.307704
L3N32     0.848150     0.827422       0.037310       0.546753          0.996235          0.559989      2.190471e-04          0.004844           0.773774           0.254682
L4N32     0.844311     0.833103       0.026102       0.460924          0.994638          0.639265      5.304813e-05          0.009269           0.784348           0.329821
L5N32     0.846461     0.829725       0.048825       0.483648          0.997933          0.684608      3.337860e-06          0.003299           0.764880           0.328724
L1N16     0.847996     0.831261       0.149701       0.470597          0.988212          0.702461      1.506481e-03          0.004258           0.646201           0.334036
L2N16     0.847229     0.825887       0.077384       0.547213          0.989280          0.564089      1.458535e-03          0.002851           0.711935           0.248454
L3N16     0.843544     0.829265       0.067864       0.512206          0.992115          0.548210      1.466732e-03          0.009972           0.742794           0.255347
L4N16     0.847996     0.826501       0.112698       0.496699          0.987455          0.668837      7.480383e-04          0.003479           0.712439           0.308843
L5N16     0.848764     0.825273       0.083986       0.654844          0.993604          0.686368      4.534284e-04          0.002134           0.707546           0.227650
L1N8      0.843390     0.822048       0.248580       0.570091          0.960507          0.616521      1.020694e-02          0.004226           0.545984           0.249240
L2N8      0.845693     0.759251       0.136803       1.000000          0.987549          0.329772      2.645263e-03          0.000000           0.656154           0.067046
L3N8      0.848610     0.790726       0.073085       0.824812          0.983060          0.295239      2.824843e-03          0.001451           0.695094           0.123105
L4N8      0.850146     0.822662       0.090127       0.543989          0.985618          0.660549      1.742721e-03          0.000048           0.697128           0.258950
L5N8      0.848918     0.818977       0.109013       0.703055          0.987676          0.486949      2.521604e-04          0.000000           0.679799           0.165830
L1N4      0.846154     0.824658       0.260402       0.605865          0.963572          0.568241      1.464969e-02          0.000000           0.535009           0.200823
L2N4      0.846000     0.824505       0.194688       0.620605          0.974647          0.479242      1.478857e-02          0.000000           0.600362           0.210798
L3N4      0.846000     0.759251       0.215722       1.000000          0.786234          0.000000      0.000000e+00          0.000000           0.519178           0.000000
L4N4      0.844158     0.759251       0.241056       1.000000          0.790461          0.000000      0.000000e+00          0.000000           0.517319           0.000000
L5N4      0.843237     0.759251       0.216183       1.000000          0.802930          0.000000      0.000000e+00          0.000000           0.539330           0.000000
L1N2      0.840934     0.759251       0.281591       1.000000          0.946849          0.000000      1.570415e-02          0.000000           0.521988           0.000000
L2N2      0.844926     0.759251       0.198680       1.000000          0.971271          0.000000      3.529072e-03          0.000000           0.587252           0.000000
L3N2      0.841548     0.759251       0.360203       1.000000          0.782411          0.001746      0.000000e+00          0.000000           0.428894           0.000016
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.405649      0.000000e+00          0.000000           0.000000           0.085764
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
