       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.841855     0.832335       0.130815       0.515584          0.997359          0.669550      3.522028e-06          0.007812           0.686603           0.288317
L2N64     0.842930     0.834792       0.034393       0.409335          0.998601          0.716738      4.942788e-06          0.004176           0.792152           0.384083
L3N64     0.836788     0.833871       0.029019       0.488101          0.998249          0.794528      1.102166e-07          0.003972           0.779671           0.355575
L4N64     0.839552     0.833257       0.075081       0.445110          0.999584          0.738180      1.192093e-07          0.002923           0.772998           0.361379
L5N64     0.842776     0.832028       0.068632       0.487947          0.999755          0.694631      0.000000e+00          0.003693           0.790559           0.330823
L1N32     0.845079     0.832949       0.077537       0.500537          0.990212          0.678414      3.457799e-04          0.006790           0.702098           0.308435
L2N32     0.842622     0.834485       0.054046       0.428374          0.995104          0.710243      2.353516e-04          0.002384           0.744581           0.347329
L3N32     0.843390     0.835560       0.050668       0.453401          0.989477          0.713436      1.703203e-04          0.008223           0.741006           0.340775
L4N32     0.842469     0.830800       0.029480       0.422693          0.996261          0.724214      2.167771e-04          0.004781           0.774798           0.362245
L5N32     0.844926     0.830339       0.045908       0.562260          0.997734          0.475240      5.496568e-07          0.008498           0.749624           0.246221
L1N16     0.846154     0.830953       0.152771       0.469830          0.989128          0.709316      1.439098e-03          0.005703           0.643747           0.343558
L2N16     0.843083     0.829265       0.076002       0.536312          0.981052          0.531192      3.357084e-03          0.000000           0.711387           0.224339
L3N16     0.843851     0.830186       0.038845       0.467066          0.979172          0.644220      7.847548e-04          0.002850           0.739960           0.330946
L4N16     0.843544     0.833717       0.049440       0.496392          0.988566          0.630956      1.293320e-03          0.005831           0.759145           0.299822
L5N16     0.843544     0.828190       0.104714       0.635191          0.987261          0.610305      1.263342e-03          0.001726           0.697928           0.230506
L1N8      0.842162     0.824044       0.255796       0.598649          0.983309          0.497563      5.547404e-03          0.000000           0.540714           0.194779
L2N8      0.843390     0.824812       0.110241       0.599570          0.991044          0.569407      2.766192e-03          0.000000           0.687683           0.221358
L3N8      0.843237     0.827269       0.084446       0.592507          0.983691          0.581408      1.342842e-03          0.006271           0.680048           0.235798
L4N8      0.844158     0.824658       0.090281       0.585598          0.989464          0.619210      0.000000e+00          0.000000           0.698027           0.200953
L5N8      0.837249     0.759251       0.132811       1.000000          0.799066          0.003783      0.000000e+00          0.000000           0.577761           0.001887
L1N4      0.840473     0.827729       0.330416       0.540918          0.975029          0.580581      5.618453e-03          0.000000           0.480072           0.232678
L2N4      0.843697     0.820820       0.182558       0.628743          0.967495          0.562812      7.052422e-03          0.000000           0.609994           0.218978
L3N4      0.843851     0.817596       0.274528       0.682942          0.778004          0.613467      0.000000e+00          0.000000           0.482499           0.184405
L4N4      0.842622     0.828343       0.220636       0.600184          0.796404          0.465948      0.000000e+00          0.000000           0.527855           0.212791
L5N4      0.842008     0.759251       0.193152       1.000000          0.789754          0.000390      0.000000e+00          0.000000           0.535480           0.000008
L1N2      0.838784     0.759251       0.319668       1.000000          0.969038          0.000000      9.130180e-03          0.000000           0.478034           0.000000
L2N2      0.838477     0.759251       0.382773       1.000000          0.903728          0.000000      0.000000e+00          0.000000           0.372165           0.000000
L3N2      0.837249     0.759251       0.348534       1.000000          0.758060          0.019913      0.000000e+00          0.000000           0.421222           0.000027
L4N2      0.759251     0.801013       1.000000       0.806080          0.000000          0.422662      0.000000e+00          0.000000           0.000000           0.099437
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.083365      0.000000e+00          0.000000           0.000000           0.015519
