       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849378     0.835867       0.095348       0.408721          0.999093          0.745297      1.263699e-06          0.005485           0.718009           0.393093
L2N64     0.850760     0.837402       0.081222       0.377553          0.998482          0.750864      4.879150e-06          0.001484           0.760396           0.406538
L3N64     0.845079     0.837556       0.037617       0.396284          0.999878          0.765195      7.889972e-10          0.001285           0.796374           0.389440
L4N64     0.838477     0.837863       0.058652       0.463534          0.999902          0.660328      1.719854e-08          0.003503           0.775666           0.324266
L5N64     0.850299     0.826501       0.056042       0.451098          0.999999          0.564513      0.000000e+00          0.003654           0.803388           0.281900
L1N32     0.851681     0.835099       0.090281       0.592354          0.993105          0.608777      1.035684e-04          0.002516           0.700657           0.246972
L2N32     0.850453     0.837863       0.071396       0.464302          0.994017          0.633088      9.132468e-05          0.003975           0.751130           0.326922
L3N32     0.850760     0.830493       0.070782       0.542454          0.995552          0.640003      7.462502e-05          0.004420           0.756027           0.259351
L4N32     0.849225     0.834945       0.069860       0.488101          0.997257          0.590522      6.437302e-06          0.004157           0.762306           0.287624
L5N32     0.841241     0.827115       0.065715       0.399509          0.998892          0.718226      1.022685e-06          0.010399           0.758073           0.334863
L1N16     0.851374     0.832642       0.134961       0.467987          0.992694          0.618805      1.121118e-04          0.004501           0.669520           0.304828
L2N16     0.844465     0.827729       0.084907       0.635652          0.988658          0.611762      2.081388e-03          0.000000           0.700941           0.206856
L3N16     0.852295     0.825426       0.077691       0.498388          0.994752          0.605618      3.397176e-04          0.003911           0.731894           0.273946
L4N16     0.848610     0.830800       0.086289       0.553048          0.998082          0.581896      5.272054e-05          0.001037           0.720427           0.233205
L5N16     0.849378     0.827576       0.063565       0.654998          0.997766          0.490238      1.057363e-04          0.007079           0.756510           0.193533
L1N8      0.847843     0.836481       0.197144       0.516352          0.992303          0.630364      5.263314e-04          0.006156           0.614482           0.291598
L2N8      0.852142     0.825887       0.071703       0.521112          0.988192          0.525798      7.413178e-05          0.004139           0.728233           0.252051
L3N8      0.850760     0.759251       0.116843       1.000000          0.993761          0.000000      2.152796e-03          0.000000           0.693146           0.000000
L4N8      0.852756     0.759251       0.127130       1.000000          0.988913          0.006756      4.348755e-04          0.000000           0.669426           0.002459
L5N8      0.844772     0.827883       0.084907       0.661139          0.816093          0.544322      0.000000e+00          0.000000           0.626356           0.189866
L1N4      0.844772     0.833257       0.327038       0.582834          0.968502          0.598302      4.319966e-03          0.006001           0.480552           0.248561
L2N4      0.848303     0.806080       0.146476       0.825887          0.956661          0.388363      2.007782e-03          0.000000           0.620004           0.090421
L3N4      0.848457     0.823430       0.216183       0.709197          0.816086          0.536926      0.000000e+00          0.000000           0.540773           0.168305
L4N4      0.846922     0.826347       0.197451       0.588515          0.803358          0.465756      0.000000e+00          0.000000           0.548295           0.176481
L5N4      0.843851     0.759251       0.303854       1.000000          0.862238          0.000000      0.000000e+00          0.000000           0.495994           0.000000
L1N2      0.842776     0.759251       0.352526       1.000000          0.771234          0.000000      0.000000e+00          0.000000           0.416917           0.000000
L2N2      0.845540     0.759251       0.400583       1.000000          0.927316          0.000000      0.000000e+00          0.000000           0.388874           0.000000
L3N2      0.841701     0.759251       0.429295       1.000000          0.753360          0.000000      0.000000e+00          0.000000           0.374672           0.000000
L4N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.295359      0.000000e+00          0.000000           0.000000           0.027324
L5N2      0.845386     0.759251       0.242899       1.000000          0.795910          0.000000      0.000000e+00          0.000000           0.515836           0.000000
