       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.851681     0.834638       0.058191       0.449562          0.998918          0.686014          0.000007          0.003026           0.744004           0.334108
L2N64     0.836020     0.838938       0.031936       0.447720          0.998434          0.645979          0.000002          0.002590           0.782674           0.344813
L3N64     0.848764     0.831261       0.038845       0.441732          0.997127          0.697397          0.000002          0.002281           0.792108           0.335335
L4N64     0.850146     0.838323       0.063105       0.470904          0.999106          0.759778          0.000000          0.001400           0.772409           0.332737
L5N64     0.849378     0.833103       0.076923       0.440811          0.999981          0.746285          0.000000          0.002956           0.745488           0.354464
L1N32     0.852910     0.834638       0.083372       0.405497          0.997282          0.718065          0.000072          0.004520           0.714545           0.384575
L2N32     0.849839     0.839091       0.063719       0.473668          0.998160          0.716346          0.000023          0.002436           0.746869           0.337952
L3N32     0.849378     0.833564       0.054506       0.394595          0.996737          0.814194          0.000114          0.001876           0.760101           0.412013
L4N32     0.853063     0.834945       0.064793       0.419008          0.998577          0.697785          0.000019          0.005543           0.747912           0.353894
L5N32     0.847996     0.835099       0.042223       0.452480          0.997717          0.617390          0.000026          0.000001           0.769117           0.340859
L1N16     0.847382     0.838477       0.100568       0.515124          0.987606          0.705246          0.003337          0.007199           0.672517           0.285455
L2N16     0.849532     0.834638       0.050668       0.447413          0.991995          0.744491          0.000533          0.004433           0.741846           0.366048
L3N16     0.849839     0.828497       0.075081       0.506065          0.986142          0.593285          0.000340          0.005419           0.736920           0.255405
L4N16     0.850299     0.832028       0.063719       0.479656          0.997358          0.656000          0.000060          0.000151           0.751514           0.307054
L5N16     0.848764     0.825273       0.058191       0.453708          0.993723          0.697711          0.000478          0.001387           0.743757           0.345239
L1N8      0.847075     0.837709       0.241056       0.466605          0.985046          0.734345          0.000154          0.002519           0.557944           0.346438
L2N8      0.849225     0.831261       0.180869       0.549209          0.952068          0.537273          0.000000          0.018406           0.604553           0.243380
L3N8      0.851221     0.825580       0.094580       0.606326          0.991072          0.568475          0.001774          0.003066           0.701843           0.192477
L4N8      0.844618     0.759251       0.167358       1.000000          0.989191          0.363260          0.000961          0.000000           0.660682           0.091959
L5N8      0.852295     0.832182       0.067097       0.578689          0.965008          0.514277          0.000000          0.000000           0.707242           0.210618
L1N4      0.840473     0.822048       0.266851       0.719331          0.954485          0.440640          0.006535          0.000000           0.526406           0.151964
L2N4      0.847382     0.759251       0.276677       1.000000          0.793653          0.271168          0.000000          0.000000           0.471427           0.082311
L3N4      0.848303     0.759251       0.210656       1.000000          0.800604          0.043781          0.000000          0.000000           0.531839           0.006583
L4N4      0.849992     0.759251       0.184093       1.000000          0.801072          0.000000          0.000000          0.000000           0.551403           0.000000
L5N4      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000          0.000000          0.000000           0.000000           0.000000
L1N2      0.839705     0.759251       0.370643       1.000000          0.857604          0.413113          0.000000          0.000000           0.359794           0.079469
L2N2      0.846922     0.784738       0.206510       0.868417          0.982468          0.451442          0.006695          0.000000           0.591302           0.082832
L3N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000          0.000000          0.000000           0.000000           0.000000
L4N2      0.847229     0.759251       0.377553       1.000000          0.936272          0.005862          0.000000          0.000000           0.420824           0.000010
L5N2      0.848918     0.759251       0.405957       1.000000          0.924815          0.000000          0.000000          0.000000           0.397824           0.000000
