       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.849532     0.830953       0.090895       0.474282          0.998348          0.709969      3.239841e-06          0.001855           0.721622           0.337437
L2N64     0.848303     0.832028       0.053278       0.426532          0.995604          0.704377      2.922878e-06          0.002673           0.775520           0.375420
L3N64     0.845540     0.835713       0.051589       0.387840          0.998859          0.797225      7.641404e-08          0.004201           0.776856           0.423156
L4N64     0.841087     0.830493       0.046215       0.501919          0.999821          0.584929      2.391329e-10          0.002571           0.774704           0.289017
L5N64     0.844158     0.832489       0.049286       0.388147          0.999429          0.709754      0.000000e+00          0.002070           0.784251           0.395308
L1N32     0.846461     0.835406       0.115461       0.474282          0.994753          0.737558      1.200710e-04          0.003687           0.681319           0.349600
L2N32     0.850453     0.837709       0.099186       0.401198          0.992512          0.756177      1.453032e-04          0.003525           0.720710           0.399300
L3N32     0.848457     0.832489       0.061109       0.491172          0.994874          0.623386      2.881885e-04          0.002427           0.745170           0.311974
L4N32     0.848150     0.829418       0.048211       0.563181          0.998562          0.572173      7.722192e-06          0.004418           0.762737           0.242040
L5N32     0.849992     0.824198       0.023799       0.548902          0.998418          0.708082      3.576279e-07          0.001326           0.799632           0.287016
L1N16     0.849532     0.830493       0.097958       0.522493          0.989891          0.632696      1.186588e-04          0.000000           0.679003           0.275117
L2N16     0.849225     0.826347       0.062644       0.639951          0.993368          0.413982      2.617777e-04          0.000000           0.732889           0.195213
L3N16     0.846000     0.828036       0.049440       0.566252          0.990238          0.641454      4.732709e-04          0.000446           0.743271           0.258273
L4N16     0.847382     0.826040       0.096576       0.541072          0.992407          0.571026      1.040697e-04          0.001837           0.706154           0.217560
L5N16     0.847075     0.816828       0.107017       0.658683          0.993903          0.496093      7.548332e-04          0.000000           0.713649           0.154875
L1N8      0.845693     0.826501       0.228159       0.543835          0.981480          0.568813      6.100641e-03          0.007804           0.571662           0.222193
L2N8      0.848918     0.825580       0.134193       0.643175          0.982559          0.491646      1.833022e-03          0.000000           0.665790           0.185027
L3N8      0.848918     0.826347       0.046983       0.595271          0.994907          0.475351      1.282006e-04          0.000745           0.752029           0.220599
L4N8      0.847536     0.826194       0.069860       0.671887          0.983608          0.560554      2.022505e-03          0.000000           0.713736           0.192849
L5N8      0.846768     0.819592       0.127437       0.645018          0.976655          0.530723      8.822680e-04          0.000000           0.666558           0.187925
L1N4      0.844311     0.820820       0.259020       0.722248          0.985169          0.394038      5.573273e-03          0.000000           0.542594           0.152493
L2N4      0.842315     0.820206       0.239674       0.671580          0.965932          0.465686      1.671255e-03          0.000000           0.570860           0.191076
L3N4      0.846768     0.759251       0.112237       1.000000          0.988421          0.335090      2.187153e-03          0.000000           0.668058           0.074633
L4N4      0.847382     0.759251       0.130508       1.000000          0.950974          0.000000      1.681328e-03          0.000000           0.663579           0.000000
L5N4      0.846154     0.759251       0.180255       1.000000          0.799554          0.000000      0.000000e+00          0.000000           0.553789           0.000000
L1N2      0.842008     0.759251       0.274835       1.000000          0.971653          0.396421      7.926643e-03          0.000000           0.527965           0.080305
L2N2      0.840319     0.818824       0.408875       0.812375          0.758717          0.327608      0.000000e+00          0.000000           0.389755           0.129780
L3N2      0.839245     0.810533       0.406879       0.863043          0.764132          0.270029      0.000000e+00          0.000000           0.395013           0.099429
L4N2      0.841087     0.759251       0.360663       1.000000          0.773618          0.000000      0.000000e+00          0.000000           0.426493           0.000000
L5N2      0.844311     0.759251       0.328420       1.000000          0.759512          0.000460      0.000000e+00          0.000000           0.440612           0.000001
