       DNNAccuracy  BNNAccuracy  DNNBasicScore  BNNBasicScore  DNNMaxDifference  BNNMaxDifference  DNNMinDifference  BNNMinDifference  DNNMeanDifference  BNNMeanDifference
L1N64     0.847229     0.837095       0.078458       0.543835          0.999540          0.617744      4.360684e-07          0.006219           0.732129           0.264053
L2N64     0.849839     0.837863       0.023184       0.394288          0.998981          0.741605      5.808275e-07          0.004373           0.814241           0.399668
L3N64     0.846000     0.836634       0.041148       0.461999          0.999610          0.658365      1.266743e-08          0.005536           0.800092           0.332548
L4N64     0.842930     0.836481       0.079380       0.555658          0.999991          0.704069      0.000000e+00          0.003466           0.772579           0.271939
L5N64     0.845540     0.838016       0.062337       0.470597          0.999974          0.688460      7.388458e-10          0.003202           0.786278           0.345314
L1N32     0.849378     0.837556       0.108245       0.471058          0.997358          0.756597      9.431332e-05          0.003974           0.704001           0.353147
L2N32     0.846461     0.838170       0.057117       0.348380          0.995339          0.817311      6.425381e-05          0.005183           0.737227           0.446293
L3N32     0.843544     0.836020       0.033779       0.535851          0.998207          0.595750      2.278198e-05          0.004442           0.787826           0.266088
L4N32     0.846154     0.835560       0.020728       0.500691          0.999431          0.676177      2.041246e-06          0.015206           0.812882           0.312368
L5N32     0.848457     0.833103       0.058498       0.553662          0.998737          0.683923      2.503395e-06          0.004110           0.770646           0.271534
L1N16     0.851221     0.837709       0.159374       0.482420          0.989246          0.687645      3.907796e-04          0.003061           0.640598           0.326701
L2N16     0.847229     0.834945       0.042530       0.585444          0.997488          0.663503      2.244900e-05          0.004862           0.760892           0.258172
L3N16     0.844004     0.822048       0.064179       0.624904          0.992235          0.600434      3.705025e-04          0.000000           0.739779           0.210185
L4N16     0.844618     0.832182       0.029019       0.568402          0.994918          0.619140      4.946188e-04          0.006254           0.794563           0.251614
L5N16     0.848303     0.826961       0.055581       0.698142          0.992978          0.533232      6.810333e-04          0.000000           0.768360           0.185258
L1N8      0.849378     0.836327       0.233379       0.582834          0.985054          0.587627      2.502701e-03          0.000000           0.565183           0.258092
L2N8      0.846768     0.832796       0.091816       0.561032          0.984922          0.558535      1.590431e-03          0.000251           0.691433           0.241139
L3N8      0.847536     0.818824       0.086135       0.772455          0.997024          0.361199      1.483984e-04          0.000000           0.726685           0.121770
L4N8      0.844772     0.822969       0.078151       0.650699          0.984063          0.548592      6.731749e-04          0.000000           0.721290           0.172155
L5N8      0.847075     0.759251       0.088746       1.000000          0.816431          0.067998      0.000000e+00          0.000000           0.628546           0.018277
L1N4      0.845847     0.827576       0.267772       0.716260          0.977831          0.566766      3.190577e-03          0.000000           0.541198           0.181534
L2N4      0.848610     0.834638       0.159988       0.522647          0.992429          0.609601      2.920681e-04          0.005899           0.644156           0.264625
L3N4      0.845233     0.759251       0.166897       1.000000          0.829491          0.336547      0.000000e+00          0.000000           0.578347           0.061986
L4N4      0.846614     0.718563       0.239828       0.851528          0.793270          0.499966      0.000000e+00          0.000000           0.519281           0.110785
L5N4      0.847382     0.759251       0.220329       1.000000          0.776019          0.001986      0.000000e+00          0.000000           0.522570           0.000381
L1N2      0.843697     0.759251       0.368033       1.000000          0.769086          0.394803      0.000000e+00          0.000000           0.411122           0.080641
L2N2      0.844772     0.759251       0.372946       1.000000          0.925088          0.321990      0.000000e+00          0.000000           0.403795           0.075150
L3N2      0.837863     0.759251       0.549670       1.000000          0.783114          0.000000      0.000000e+00          0.000000           0.224051           0.000000
L4N2      0.840626     0.759251       0.360203       1.000000          0.761527          0.000153      0.000000e+00          0.000000           0.425079           0.000001
L5N2      0.759251     0.759251       1.000000       1.000000          0.000000          0.000000      0.000000e+00          0.000000           0.000000           0.000000
